# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,2.569644e+03,9.024836e-01,5.272523e-01,1.659446e+01,-1.000000e+00,9.411121e+00,-1.000000e+00,-5.487582e+00
2.000000e+00,2.652283e+03,-1.000000e+00,5.271717e-01,9.668657e+00,7.766351e-01,9.044506e+00,8.948828e-01,3.357590e+00
3.000000e+00,3.089874e+03,-1.000000e+00,5.271677e-01,1.719618e+01,-1.000000e+00,9.425405e+00,-1.000000e+00,-1.500000e+01
4.000000e+00,2.817901e+03,-1.000000e+00,5.271720e-01,2.124815e+01,-1.000000e+00,9.525166e+00,-1.000000e+00,-1.500000e+01
5.000000e+00,2.597058e+03,9.674545e-01,5.271527e-01,2.296481e+01,-1.000000e+00,9.554472e+00,-1.000000e+00,-5.162728e+00
6.000000e+00,3.184898e+03,-1.000000e+00,5.271690e-01,1.510119e+01,-1.000000e+00,9.351187e+00,-1.000000e+00,-1.500000e+01
7.000000e+00,2.562078e+03,8.922441e-01,5.272143e-01,9.752360e+00,7.398405e-01,9.057309e+00,9.033821e-01,1.267733e+01
8.000000e+00,3.113313e+03,-1.000000e+00,5.271497e-01,1.815724e+01,-1.000000e+00,9.457304e+00,-1.000000e+00,-1.500000e+01
9.000000e+00,3.112153e+03,-1.000000e+00,5.271673e-01,2.344098e+01,-1.000000e+00,9.554928e+00,-1.000000e+00,-1.500000e+01
1.000000e+01,2.959564e+03,-1.000000e+00,5.271970e-01,2.357778e+01,-1.000000e+00,9.558327e+00,-1.000000e+00,-1.500000e+01
1.100000e+01,2.945642e+03,-1.000000e+00,5.272537e-01,1.423746e+01,-1.000000e+00,9.323902e+00,-1.000000e+00,-1.500000e+01
1.200000e+01,2.617051e+03,9.250849e-01,5.273017e-01,2.166922e+01,-1.000000e+00,9.526688e+00,-1.000000e+00,-5.374575e+00
1.300000e+01,3.004702e+03,-1.000000e+00,5.271743e-01,2.095551e+01,-1.000000e+00,9.516759e+00,-1.000000e+00,-1.500000e+01
1.400000e+01,2.516065e+03,-1.000000e+00,5.272103e-01,1.664382e+01,-1.000000e+00,9.423678e+00,-1.000000e+00,-1.500000e+01
1.500000e+01,2.644278e+03,8.845647e-01,5.271510e-01,1.198093e+01,6.387893e-01,9.214376e+00,8.927572e-01,1.208056e+01
1.600000e+01,2.600848e+03,9.822568e-01,5.271890e-01,1.959060e+01,-1.000000e+00,9.488357e+00,-1.000000e+00,-5.088716e+00
1.700000e+01,3.159915e+03,-1.000000e+00,5.271120e-01,1.509227e+01,-1.000000e+00,9.366613e+00,-1.000000e+00,-1.500000e+01
1.800000e+01,3.077533e+03,-1.000000e+00,5.272273e-01,1.450290e+01,-1.000000e+00,9.335307e+00,-1.000000e+00,-1.500000e+01
1.900000e+01,2.918802e+03,-1.000000e+00,5.271627e-01,1.263986e+01,6.171250e-01,9.255635e+00,8.735526e-01,2.453388e+00
2.000000e+01,3.012188e+03,-1.000000e+00,5.271843e-01,1.769517e+01,-1.000000e+00,9.441362e+00,-1.000000e+00,-1.500000e+01
2.100000e+01,2.526081e+03,-1.000000e+00,5.272170e-01,1.962784e+01,-1.000000e+00,9.492614e+00,-1.000000e+00,-1.500000e+01
2.200000e+01,2.544496e+03,-1.000000e+00,5.271650e-01,2.373700e+01,-1.000000e+00,9.567090e+00,-1.000000e+00,-1.500000e+01
2.300000e+01,2.563062e+03,8.935005e-01,5.271643e-01,1.142019e+01,6.602706e-01,9.182324e+00,9.094076e-01,1.231589e+01
2.400000e+01,3.021437e+03,-1.000000e+00,5.271603e-01,1.388224e+01,-1.000000e+00,9.306288e+00,8.566527e-01,-5.716737e+00
2.500000e+01,2.500053e+03,-1.000000e+00,5.271820e-01,2.442855e+01,-1.000000e+00,9.576572e+00,-1.000000e+00,-1.500000e+01
2.600000e+01,2.524537e+03,-1.000000e+00,5.272240e-01,1.904658e+01,-1.000000e+00,9.483864e+00,-1.000000e+00,-1.500000e+01
2.700000e+01,3.047752e+03,-1.000000e+00,5.272150e-01,1.049059e+01,7.351200e-01,9.118110e+00,9.056125e-01,3.203663e+00
2.800000e+01,3.227826e+03,-1.000000e+00,5.271300e-01,2.201015e+01,-1.000000e+00,9.536807e+00,-1.000000e+00,-1.500000e+01
2.900000e+01,2.711458e+03,-1.000000e+00,5.271930e-01,2.028426e+01,-1.000000e+00,9.502636e+00,-1.000000e+00,-1.500000e+01
3.000000e+01,3.039240e+03,-1.000000e+00,5.272077e-01,2.364872e+01,-1.000000e+00,9.560382e+00,-1.000000e+00,-1.500000e+01
