# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3
1.000000e+00,6.775000e+01,8.717000e+01,1.188000e+02,3.393000e+01,4.249000e+01,3.343000e+01,2.989000e+01,2.845000e+01,2.457000e+01,3.267000e-01,2.986000e-01,3.260000e-01
2.000000e+00,7.596000e+01,9.773000e+01,1.332000e+02,2.672000e+01,3.346000e+01,2.633000e+01,2.354000e+01,2.241000e+01,1.935000e+01,3.563000e-01,3.256000e-01,3.556000e-01
3.000000e+00,7.919000e+01,1.019000e+02,1.388000e+02,2.948000e+01,3.692000e+01,2.905000e+01,2.597000e+01,2.472000e+01,2.134000e+01,6.233000e-01,5.696000e-01,6.220000e-01
4.000000e+00,7.316000e+01,9.413000e+01,1.283000e+02,3.311000e+01,4.147000e+01,3.263000e+01,2.917000e+01,2.777000e+01,2.397000e+01,5.135000e-01,4.693000e-01,5.124000e-01
5.000000e+00,7.821000e+01,1.006000e+02,1.371000e+02,2.834000e+01,3.549000e+01,2.793000e+01,2.496000e+01,2.377000e+01,2.052000e+01,7.789000e-01,7.118000e-01,7.773000e-01
6.000000e+00,7.908000e+01,1.017000e+02,1.386000e+02,2.939000e+01,3.681000e+01,2.896000e+01,2.589000e+01,2.465000e+01,2.128000e+01,7.262000e-01,6.637000e-01,7.247000e-01
7.000000e+00,7.047000e+01,9.067000e+01,1.235000e+02,3.042000e+01,3.810000e+01,2.998000e+01,2.680000e+01,2.551000e+01,2.202000e+01,4.489000e-01,4.102000e-01,4.480000e-01
8.000000e+00,7.139000e+01,9.185000e+01,1.252000e+02,2.744000e+01,3.437000e+01,2.704000e+01,2.417000e+01,2.301000e+01,1.987000e+01,8.301000e-01,7.586000e-01,8.284000e-01
9.000000e+00,6.296000e+01,8.100000e+01,1.104000e+02,3.008000e+01,3.767000e+01,2.964000e+01,2.650000e+01,2.523000e+01,2.178000e+01,3.194000e-01,2.919000e-01,3.187000e-01
1.000000e+01,7.106000e+01,9.143000e+01,1.246000e+02,2.842000e+01,3.559000e+01,2.801000e+01,2.504000e+01,2.383000e+01,2.058000e+01,6.971000e-01,6.371000e-01,6.956000e-01
1.100000e+01,7.197000e+01,9.260000e+01,1.262000e+02,3.424000e+01,4.288000e+01,3.374000e+01,3.016000e+01,2.871000e+01,2.479000e+01,5.886000e-01,5.379000e-01,5.874000e-01
1.200000e+01,6.851000e+01,8.814000e+01,1.201000e+02,2.585000e+01,3.237000e+01,2.547000e+01,2.277000e+01,2.168000e+01,1.872000e+01,4.848000e-01,4.431000e-01,4.838000e-01
1.300000e+01,6.125000e+01,7.880000e+01,1.074000e+02,3.187000e+01,3.991000e+01,3.140000e+01,2.807000e+01,2.673000e+01,2.307000e+01,6.179000e-01,5.647000e-01,6.166000e-01
1.400000e+01,7.556000e+01,9.722000e+01,1.325000e+02,3.142000e+01,3.935000e+01,3.096000e+01,2.768000e+01,2.635000e+01,2.275000e+01,3.071000e-01,2.807000e-01,3.065000e-01
