# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3
1.000000e+00,6.561000e+01,8.441000e+01,1.150000e+02,3.298000e+01,4.130000e+01,3.250000e+01,2.905000e+01,2.766000e+01,2.388000e+01,7.941000e-01,7.257000e-01,7.924000e-01
2.000000e+00,7.247000e+01,9.324000e+01,1.270000e+02,3.233000e+01,4.049000e+01,3.186000e+01,2.848000e+01,2.711000e+01,2.341000e+01,2.908000e-01,2.658000e-01,2.902000e-01
3.000000e+00,6.449000e+01,8.297000e+01,1.131000e+02,3.259000e+01,4.082000e+01,3.211000e+01,2.871000e+01,2.733000e+01,2.360000e+01,4.194000e-01,3.833000e-01,4.185000e-01
4.000000e+00,7.775000e+01,1.000000e+02,1.363000e+02,2.747000e+01,3.440000e+01,2.707000e+01,2.420000e+01,2.304000e+01,1.989000e+01,3.031000e-01,2.770000e-01,3.025000e-01
5.000000e+00,7.276000e+01,9.361000e+01,1.276000e+02,3.368000e+01,4.218000e+01,3.319000e+01,2.967000e+01,2.824000e+01,2.438000e+01,2.269000e-01,2.074000e-01,2.264000e-01
6.000000e+00,6.474000e+01,8.329000e+01,1.135000e+02,3.281000e+01,4.109000e+01,3.233000e+01,2.890000e+01,2.751000e+01,2.375000e+01,2.035000e-01,1.860000e-01,2.031000e-01
7.000000e+00,7.654000e+01,9.848000e+01,1.342000e+02,2.978000e+01,3.730000e+01,2.935000e+01,2.623000e+01,2.497000e+01,2.156000e+01,4.372000e-01,3.996000e-01,4.363000e-01
8.000000e+00,7.151000e+01,9.200000e+01,1.254000e+02,2.709000e+01,3.393000e+01,2.669000e+01,2.386000e+01,2.272000e+01,1.961000e+01,7.177000e-01,6.559000e-01,7.162000e-01
9.000000e+00,6.680000e+01,8.594000e+01,1.171000e+02,2.967000e+01,3.716000e+01,2.924000e+01,2.614000e+01,2.488000e+01,2.148000e+01,8.181000e-01,7.477000e-01,8.164000e-01
1.000000e+01,6.613000e+01,8.508000e+01,1.159000e+02,3.044000e+01,3.812000e+01,3.000000e+01,2.681000e+01,2.553000e+01,2.204000e+01,5.681000e-01,5.192000e-01,5.669000e-01
1.100000e+01,7.725000e+01,9.939000e+01,1.354000e+02,3.187000e+01,3.991000e+01,3.140000e+01,2.807000e+01,2.673000e+01,2.307000e+01,5.889000e-01,5.382000e-01,5.877000e-01
1.200000e+01,7.872000e+01,1.013000e+02,1.380000e+02,2.736000e+01,3.427000e+01,2.696000e+01,2.410000e+01,2.294000e+01,1.981000e+01,2.802000e-01,2.561000e-01,2.796000e-01
1.300000e+01,6.196000e+01,7.972000e+01,1.086000e+02,3.095000e+01,3.876000e+01,3.050000e+01,2.726000e+01,2.595000e+01,2.241000e+01,6.746000e-01,6.165000e-01,6.732000e-01
1.400000e+01,6.996000e+01,9.001000e+01,1.226000e+02,3.049000e+01,3.819000e+01,3.004000e+01,2.686000e+01,2.557000e+01,2.207000e+01,6.786000e-01,6.202000e-01,6.772000e-01
1.500000e+01,6.679000e+01,8.593000e+01,1.171000e+02,3.120000e+01,3.907000e+01,3.074000e+01,2.748000e+01,2.616000e+01,2.259000e+01,2.836000e-01,2.592000e-01,2.830000e-01
1.600000e+01,7.152000e+01,9.202000e+01,1.254000e+02,3.426000e+01,4.291000e+01,3.376000e+01,3.018000e+01,2.873000e+01,2.480000e+01,8.138000e-01,7.437000e-01,8.121000e-01
1.700000e+01,7.090000e+01,9.122000e+01,1.243000e+02,2.818000e+01,3.529000e+01,2.777000e+01,2.482000e+01,2.363000e+01,2.040000e+01,3.351000e-01,3.062000e-01,3.344000e-01
