# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.605154e+03,9.573741e-01,9.684709e+00,7.746319e-01,9.076889e+00,8.905905e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.677602e-01,1.995178e+01
2.000000e+00,2.600353e+03,9.884778e-01,1.029251e+01,6.639612e-01,9.125271e+00,8.773729e-01,-1.000000e+00,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,6.377723e-01,1.583792e+01
3.000000e+00,2.606153e+03,9.536081e-01,1.000177e+01,6.519982e-01,9.098538e+00,8.628460e-01,1.000000e+00,0.000000e+00,1.000000e+00,7.084942e-01,7.279706e-01,8.858115e-01,7.636592e+01
4.000000e+00,2.609043e+03,9.443105e-01,1.050475e+01,7.069137e-01,9.128639e+00,8.986660e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.983871e-01,7.671407e-01,9.942293e-01,8.160770e+01
5.000000e+00,2.604273e+03,9.610405e-01,1.030314e+01,7.229690e-01,9.110899e+00,9.005769e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.985178e-01,2.041552e+01
6.000000e+00,2.608560e+03,9.457359e-01,1.206167e+01,-1.000000e+00,9.235057e+00,-1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,7.532286e-01,8.376706e-01,9.815955e-01,6.736266e+01
7.000000e+00,2.603105e+03,9.665948e-01,9.546633e+00,7.557030e-01,9.058505e+00,8.716803e-01,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,5.175760e-01,2.555777e+01
8.000000e+00,2.601783e+03,9.744820e-01,9.462789e+00,7.250023e-01,9.060739e+00,8.755743e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,4.455371e-01,3.010298e+01
9.000000e+00,2.607353e+03,9.495050e-01,9.434106e+00,7.573010e-01,9.034752e+00,8.924143e-01,1.000000e+00,0.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,2.707463e-01,2.184983e+01
1.000000e+01,2.608688e+03,9.453527e-01,1.081459e+01,-1.000000e+00,9.167693e+00,8.751333e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.600793e-01,8.317569e-01,9.848127e-01,7.723204e+01
1.100000e+01,2.605229e+03,9.570796e-01,1.005894e+01,7.010035e-01,9.102780e+00,8.760374e-01,1.000000e+00,0.000000e+00,1.000000e+00,7.559980e-01,3.510269e-01,8.787606e-01,5.163629e+01
1.200000e+01,2.601586e+03,9.758983e-01,9.732794e+00,7.968656e-01,9.067036e+00,8.783764e-01,-1.000000e+00,0.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,7.006923e-01,1.425916e+01
