# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3,pc_1_2_1_hb,pc_1_2_2_hb,pc_1_3_1_hb,pc_1_3_2_hb,pc_1_1_1,pc_1_1_2,pc_1_2_1,pc_1_2_2,pc_1_3_1,pc_1_3_2,pc_2_2_1,pc_2_2_2,pc_2_3_1,pc_2_3_2,pc_3_3_1,pc_3_3_2
1.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.401000e+00,6.271000e+00,1.401000e+00,6.271000e+00,1.024000e+00,5.124000e+00,1.024000e+00,4.220000e+00,1.024000e+00,4.119000e+00,1.024000e+00,5.124000e+00,5.326000e-01,4.060000e+00,1.024000e+00,5.124000e+00
2.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.479000e+00,6.552000e+00,1.479000e+00,6.552000e+00,1.058000e+00,5.109000e+00,1.058000e+00,4.207000e+00,1.058000e+00,4.107000e+00,1.058000e+00,5.109000e+00,5.156000e-01,4.080000e+00,1.058000e+00,5.109000e+00
3.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.535000e+00,6.150000e+00,1.535000e+00,6.150000e+00,1.066000e+00,5.149000e+00,1.066000e+00,4.240000e+00,1.066000e+00,4.139000e+00,1.066000e+00,5.149000e+00,5.666000e-01,4.060000e+00,1.066000e+00,5.149000e+00
4.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.551000e+00,6.595000e+00,1.551000e+00,6.595000e+00,1.033000e+00,5.132000e+00,1.033000e+00,4.226000e+00,1.033000e+00,4.126000e+00,1.033000e+00,5.132000e+00,5.249000e-01,4.060000e+00,1.033000e+00,5.132000e+00
5.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.555000e+00,6.083000e+00,1.555000e+00,6.083000e+00,9.782000e-01,5.158000e+00,9.782000e-01,4.248000e+00,9.782000e-01,4.147000e+00,9.782000e-01,5.158000e+00,5.026000e-01,4.061000e+00,9.782000e-01,5.158000e+00
6.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.522000e+00,6.335000e+00,1.522000e+00,6.335000e+00,9.441000e-01,5.202000e+00,9.441000e-01,4.284000e+00,9.441000e-01,4.182000e+00,9.441000e-01,5.202000e+00,5.982000e-01,4.052000e+00,9.441000e-01,5.202000e+00
7.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.559000e+00,6.193000e+00,1.559000e+00,6.193000e+00,9.302000e-01,5.105000e+00,9.302000e-01,4.204000e+00,9.302000e-01,4.104000e+00,9.302000e-01,5.105000e+00,5.364000e-01,4.053000e+00,9.302000e-01,5.105000e+00
8.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.532000e+00,6.224000e+00,1.532000e+00,6.224000e+00,9.871000e-01,5.151000e+00,9.871000e-01,4.242000e+00,9.871000e-01,4.141000e+00,9.871000e-01,5.151000e+00,5.411000e-01,4.077000e+00,9.871000e-01,5.151000e+00
9.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.438000e+00,6.262000e+00,1.438000e+00,6.262000e+00,9.636000e-01,5.196000e+00,9.636000e-01,4.279000e+00,9.636000e-01,4.177000e+00,9.636000e-01,5.196000e+00,5.412000e-01,4.061000e+00,9.636000e-01,5.196000e+00
1.000000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.534000e+00,6.089000e+00,1.534000e+00,6.089000e+00,1.045000e+00,5.186000e+00,1.045000e+00,4.271000e+00,1.045000e+00,4.169000e+00,1.045000e+00,5.186000e+00,5.749000e-01,4.052000e+00,1.045000e+00,5.186000e+00
1.100000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.590000e+00,6.591000e+00,1.590000e+00,6.591000e+00,9.898000e-01,5.102000e+00,9.898000e-01,4.201000e+00,9.898000e-01,4.101000e+00,9.898000e-01,5.102000e+00,5.656000e-01,4.069000e+00,9.898000e-01,5.102000e+00
1.200000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.434000e+00,6.350000e+00,1.434000e+00,6.350000e+00,9.507000e-01,5.103000e+00,9.507000e-01,4.202000e+00,9.507000e-01,4.102000e+00,9.507000e-01,5.103000e+00,5.656000e-01,4.057000e+00,9.507000e-01,5.103000e+00
1.300000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.438000e+00,6.121000e+00,1.438000e+00,6.121000e+00,1.086000e+00,5.123000e+00,1.086000e+00,4.219000e+00,1.086000e+00,4.118000e+00,1.086000e+00,5.123000e+00,5.328000e-01,4.071000e+00,1.086000e+00,5.123000e+00
1.400000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.544000e+00,6.160000e+00,1.544000e+00,6.160000e+00,9.876000e-01,5.177000e+00,9.876000e-01,4.263000e+00,9.876000e-01,4.162000e+00,9.876000e-01,5.177000e+00,5.738000e-01,4.068000e+00,9.876000e-01,5.177000e+00
1.500000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.401000e+00,6.174000e+00,1.401000e+00,6.174000e+00,9.652000e-01,5.147000e+00,9.652000e-01,4.239000e+00,9.652000e-01,4.138000e+00,9.652000e-01,5.147000e+00,5.459000e-01,4.083000e+00,9.652000e-01,5.147000e+00
1.600000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.548000e+00,6.389000e+00,1.548000e+00,6.389000e+00,1.039000e+00,5.160000e+00,1.039000e+00,4.249000e+00,1.039000e+00,4.148000e+00,1.039000e+00,5.160000e+00,5.526000e-01,4.067000e+00,1.039000e+00,5.160000e+00
1.700000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.413000e+00,6.184000e+00,1.413000e+00,6.184000e+00,1.020000e+00,5.113000e+00,1.020000e+00,4.211000e+00,1.020000e+00,4.110000e+00,1.020000e+00,5.113000e+00,5.695000e-01,4.070000e+00,1.020000e+00,5.113000e+00
1.800000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.511000e+00,6.197000e+00,1.511000e+00,6.197000e+00,1.001000e+00,5.175000e+00,1.001000e+00,4.262000e+00,1.001000e+00,4.160000e+00,1.001000e+00,5.175000e+00,5.737000e-01,4.061000e+00,1.001000e+00,5.175000e+00
1.900000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.452000e+00,6.503000e+00,1.452000e+00,6.503000e+00,9.915000e-01,5.167000e+00,9.915000e-01,4.255000e+00,9.915000e-01,4.154000e+00,9.915000e-01,5.167000e+00,5.772000e-01,4.055000e+00,9.915000e-01,5.167000e+00
2.000000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.450000e+00,6.102000e+00,1.450000e+00,6.102000e+00,1.035000e+00,5.183000e+00,1.035000e+00,4.268000e+00,1.035000e+00,4.167000e+00,1.035000e+00,5.183000e+00,5.655000e-01,4.076000e+00,1.035000e+00,5.183000e+00
2.100000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.599000e+00,6.186000e+00,1.599000e+00,6.186000e+00,9.984000e-01,5.129000e+00,9.984000e-01,4.224000e+00,9.984000e-01,4.123000e+00,9.984000e-01,5.129000e+00,5.597000e-01,4.060000e+00,9.984000e-01,5.129000e+00
2.200000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.414000e+00,6.231000e+00,1.414000e+00,6.231000e+00,1.091000e+00,5.127000e+00,1.091000e+00,4.222000e+00,1.091000e+00,4.122000e+00,1.091000e+00,5.127000e+00,5.272000e-01,4.086000e+00,1.091000e+00,5.127000e+00
