# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3,pc_1_2_1_hb,pc_1_2_2_hb,pc_1_3_1_hb,pc_1_3_2_hb,pc_1_1_1,pc_1_1_2,pc_1_2_1,pc_1_2_2,pc_1_3_1,pc_1_3_2,pc_2_2_1,pc_2_2_2,pc_2_3_1,pc_2_3_2,pc_3_3_1,pc_3_3_2
1.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.473000e+00,6.250000e+00,1.473000e+00,6.250000e+00,1.061000e+00,5.179000e+00,1.061000e+00,4.265000e+00,1.061000e+00,4.164000e+00,1.061000e+00,5.179000e+00,5.887000e-01,4.082000e+00,1.061000e+00,5.179000e+00
2.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.595000e+00,6.141000e+00,1.595000e+00,6.141000e+00,9.897000e-01,5.104000e+00,9.897000e-01,4.204000e+00,9.897000e-01,4.103000e+00,9.897000e-01,5.104000e+00,5.423000e-01,4.080000e+00,9.897000e-01,5.104000e+00
3.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.429000e+00,6.544000e+00,1.429000e+00,6.544000e+00,9.548000e-01,5.160000e+00,9.548000e-01,4.249000e+00,9.548000e-01,4.148000e+00,9.548000e-01,5.160000e+00,5.871000e-01,4.065000e+00,9.548000e-01,5.160000e+00
4.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.497000e+00,6.041000e+00,1.497000e+00,6.041000e+00,1.096000e+00,5.199000e+00,1.096000e+00,4.281000e+00,1.096000e+00,4.179000e+00,1.096000e+00,5.199000e+00,5.658000e-01,4.085000e+00,1.096000e+00,5.199000e+00
5.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.587000e+00,6.532000e+00,1.587000e+00,6.532000e+00,9.364000e-01,5.196000e+00,9.364000e-01,4.279000e+00,9.364000e-01,4.177000e+00,9.364000e-01,5.196000e+00,5.021000e-01,4.056000e+00,9.364000e-01,5.196000e+00
6.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.557000e+00,6.109000e+00,1.557000e+00,6.109000e+00,9.403000e-01,5.131000e+00,9.403000e-01,4.225000e+00,9.403000e-01,4.125000e+00,9.403000e-01,5.131000e+00,5.463000e-01,4.081000e+00,9.403000e-01,5.131000e+00
7.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.447000e+00,6.416000e+00,1.447000e+00,6.416000e+00,1.039000e+00,5.116000e+00,1.039000e+00,4.213000e+00,1.039000e+00,4.113000e+00,1.039000e+00,5.116000e+00,5.145000e-01,4.058000e+00,1.039000e+00,5.116000e+00
8.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.448000e+00,6.494000e+00,1.448000e+00,6.494000e+00,9.579000e-01,5.187000e+00,9.579000e-01,4.271000e+00,9.579000e-01,4.170000e+00,9.579000e-01,5.187000e+00,5.097000e-01,4.056000e+00,9.579000e-01,5.187000e+00
9.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.537000e+00,6.192000e+00,1.537000e+00,6.192000e+00,1.038000e+00,5.113000e+00,1.038000e+00,4.211000e+00,1.038000e+00,4.111000e+00,1.038000e+00,5.113000e+00,5.112000e-01,4.060000e+00,1.038000e+00,5.113000e+00
1.000000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.463000e+00,6.077000e+00,1.463000e+00,6.077000e+00,9.044000e-01,5.129000e+00,9.044000e-01,4.224000e+00,9.044000e-01,4.124000e+00,9.044000e-01,5.129000e+00,5.603000e-01,4.089000e+00,9.044000e-01,5.129000e+00
1.100000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.600000e+00,6.392000e+00,1.600000e+00,6.392000e+00,1.089000e+00,5.176000e+00,1.089000e+00,4.262000e+00,1.089000e+00,4.161000e+00,1.089000e+00,5.176000e+00,5.387000e-01,4.066000e+00,1.089000e+00,5.176000e+00
1.200000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.401000e+00,6.105000e+00,1.401000e+00,6.105000e+00,9.415000e-01,5.151000e+00,9.415000e-01,4.242000e+00,9.415000e-01,4.141000e+00,9.415000e-01,5.151000e+00,5.668000e-01,4.072000e+00,9.415000e-01,5.151000e+00
1.300000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.522000e+00,6.481000e+00,1.522000e+00,6.481000e+00,9.031000e-01,5.179000e+00,9.031000e-01,4.265000e+00,9.031000e-01,4.164000e+00,9.031000e-01,5.179000e+00,5.263000e-01,4.061000e+00,9.031000e-01,5.179000e+00
1.400000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.511000e+00,6.492000e+00,1.511000e+00,6.492000e+00,9.779000e-01,5.175000e+00,9.779000e-01,4.262000e+00,9.779000e-01,4.161000e+00,9.779000e-01,5.175000e+00,5.002000e-01,4.067000e+00,9.779000e-01,5.175000e+00
