# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.602969e+03,9.673144e-01,9.891952e+00,7.265779e-01,9.098160e+00,8.634319e-01,1.000000e+00,0.000000e+00,0.000000e+00,6.873182e-01,0.000000e+00,3.898493e-01,1.973587e+01
2.000000e+00,2.606315e+03,9.530316e-01,9.511937e+00,7.314992e-01,9.011205e+00,8.758724e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.331232e-01,1.946763e+01
3.000000e+00,2.601160e+03,9.793183e-01,1.067034e+01,6.735521e-01,9.132396e+00,9.052467e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.961448e-01,2.177131e+01
4.000000e+00,2.607517e+03,9.489738e-01,9.119927e+00,7.311405e-01,9.000030e+00,8.523773e-01,1.000000e+00,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,4.349798e-01,2.483736e+01
5.000000e+00,2.605523e+03,9.559404e-01,1.032670e+01,7.168524e-01,9.101644e+00,9.067952e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.690780e-01,1.924333e+01
6.000000e+00,2.600242e+03,9.904503e-01,1.067698e+01,7.097686e-01,9.124097e+00,9.078271e-01,1.000000e+00,0.000000e+00,0.000000e+00,7.767882e-01,0.000000e+00,6.650764e-01,2.136561e+01
7.000000e+00,2.607480e+03,9.490919e-01,1.037709e+01,7.234693e-01,9.126017e+00,8.994073e-01,-1.000000e+00,0.000000e+00,0.000000e+00,6.845282e-01,0.000000e+00,3.595656e-01,9.657671e+00
8.000000e+00,2.610616e+03,9.399397e-01,1.015834e+01,7.275066e-01,9.109179e+00,9.024718e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.998253e-01,2.134872e+01
9.000000e+00,2.599151e+03,9.822538e-01,1.029361e+01,7.233269e-01,9.111478e+00,8.958069e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.818066e-01,2.091597e+01
1.000000e+01,2.602218e+03,9.716239e-01,9.705779e+00,8.178286e-01,9.076777e+00,8.762057e-01,1.000000e+00,5.000000e-01,5.000000e-01,7.612073e-01,0.000000e+00,4.877800e-01,2.576719e+01
1.100000e+01,2.607355e+03,9.494984e-01,1.041266e+01,6.571072e-01,9.124520e+00,8.802144e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.683613e-01,2.027591e+01
1.200000e+01,2.602205e+03,9.717002e-01,1.127760e+01,-1.000000e+00,9.174185e+00,8.682777e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.191103e-01,7.954411e-01
1.300000e+01,2.602680e+03,9.688940e-01,9.701341e+00,7.665411e-01,9.047033e+00,8.946467e-01,-1.000000e+00,0.000000e+00,0.000000e+00,9.006403e-01,0.000000e+00,6.551962e-01,1.142639e+01
1.400000e+01,2.604845e+03,9.586195e-01,1.025073e+01,6.611502e-01,9.068940e+00,9.045163e-01,-1.000000e+00,0.000000e+00,0.000000e+00,7.618789e-01,0.000000e+00,7.391300e-01,1.131708e+01
1.500000e+01,2.600473e+03,9.866938e-01,1.012559e+01,6.794858e-01,9.113322e+00,8.678084e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.550321e-01,9.904148e-01,9.342821e-01,8.519360e+01
1.600000e+01,2.597428e+03,9.695051e-01,1.038274e+01,7.115549e-01,9.107023e+00,9.034702e-01,1.000000e+00,0.000000e+00,0.000000e+00,7.940270e-01,0.000000e+00,3.906916e-01,1.987611e+01
1.700000e+01,2.600281e+03,9.897085e-01,1.017494e+01,6.670747e-01,9.119111e+00,8.660014e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.481576e-01,2.035471e+01
1.800000e+01,2.609938e+03,9.417750e-01,9.756694e+00,7.919956e-01,9.063597e+00,8.862543e-01,1.000000e+00,0.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,7.324031e-01,2.426214e+01
1.900000e+01,2.602421e+03,9.703916e-01,1.023932e+01,7.505209e-01,9.098218e+00,8.997607e-01,1.000000e+00,0.000000e+00,0.000000e+00,8.680418e-01,0.000000e+00,4.228195e-01,2.021746e+01
2.000000e+01,2.602363e+03,9.707368e-01,9.895958e+00,7.805064e-01,9.091970e+00,8.922150e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.833781e-01,2.063418e+01
2.100000e+01,2.602898e+03,9.676938e-01,1.049305e+01,6.982983e-01,9.128415e+00,8.828165e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,8.552273e-01,3.202018e+01
2.200000e+01,2.602626e+03,9.691979e-01,1.052144e+01,6.868305e-01,9.091682e+00,9.131491e-01,1.000000e+00,0.000000e+00,0.000000e+00,7.176487e-01,0.000000e+00,6.710646e-01,2.120121e+01
2.300000e+01,2.599483e+03,9.860920e-01,1.002211e+01,7.009547e-01,9.107298e+00,8.761520e-01,1.000000e+00,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,7.795787e-01,2.671389e+01
2.400000e+01,2.603288e+03,9.656611e-01,1.019998e+01,7.112850e-01,9.100694e+00,8.893438e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.914197e-01,1.028855e+01
2.500000e+01,2.603313e+03,9.655353e-01,9.584425e+00,7.572209e-01,9.061385e+00,8.933862e-01,1.000000e+00,0.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,6.119580e-01,2.364050e+01
2.600000e+01,2.608313e+03,9.464812e-01,1.175841e+01,-1.000000e+00,9.229632e+00,8.568135e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.350337e-01,2.191643e+00
2.700000e+01,2.608054e+03,9.472764e-01,9.645998e+00,6.933840e-01,9.036012e+00,8.815817e-01,1.000000e+00,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,9.590913e-01,2.740667e+01
2.800000e+01,2.598445e+03,9.761291e-01,1.025366e+01,7.006425e-01,9.106900e+00,8.885386e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.551467e-01,9.102285e+00
