# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.607782e+03,9.481302e-01,1.049358e+01,6.917245e-01,9.122785e+00,9.009137e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.630454e-01,1.101907e+01
2.000000e+00,2.612674e+03,9.347372e-01,9.497586e+00,7.176553e-01,8.988159e+00,8.656890e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.139548e-01,1.866018e+01
3.000000e+00,2.601638e+03,9.755168e-01,8.872893e+00,7.221450e-01,8.963503e+00,8.628082e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.221112e-01,2.141291e+01
4.000000e+00,2.601155e+03,9.793572e-01,1.043303e+01,6.674073e-01,9.119440e+00,8.796398e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.981576e-01,2.162281e+01
5.000000e+00,2.602634e+03,9.691503e-01,9.860227e+00,7.528938e-01,9.081256e+00,8.798261e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.716989e-01,9.333991e-01,2.267635e+01
6.000000e+00,2.600358e+03,9.884090e-01,9.108940e+00,7.307323e-01,8.995303e+00,8.541306e-01,1.000000e+00,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,3.138865e-01,2.443579e+01
7.000000e+00,2.604913e+03,9.583392e-01,1.057186e+01,6.734390e-01,9.139264e+00,8.953239e-01,1.000000e+00,0.000000e+00,0.000000e+00,7.088883e-01,8.969707e-01,9.787077e-01,7.215123e+01
8.000000e+00,2.600408e+03,9.876315e-01,1.174937e+01,-1.000000e+00,9.208096e+00,8.723467e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.732265e-01,1.016602e+01
9.000000e+00,2.604287e+03,9.609792e-01,9.579576e+00,7.798018e-01,9.019763e+00,8.861692e-01,1.000000e+00,0.000000e+00,0.000000e+00,8.663297e-01,0.000000e+00,3.771201e-01,2.002035e+01
1.000000e+01,2.598292e+03,9.750102e-01,1.028464e+01,7.047123e-01,9.087515e+00,9.108566e-01,1.000000e+00,5.000000e-01,5.000000e-01,7.457367e-01,6.802833e-01,8.655535e-01,7.490049e+01
