# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3,pc_1_2_1_hb,pc_1_2_2_hb,pc_1_3_1_hb,pc_1_3_2_hb,pc_1_1_1,pc_1_1_2,pc_1_2_1,pc_1_2_2,pc_1_3_1,pc_1_3_2,pc_2_2_1,pc_2_2_2,pc_2_3_1,pc_2_3_2,pc_3_3_1,pc_3_3_2
1.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.521000e+00,5.913000e+00,1.521000e+00,5.913000e+00,9.035000e-01,5.361000e+00,5.691000e-01,4.069000e+00,8.680000e-01,3.966000e+00,1.455000e+00,5.361000e+00,7.330000e-01,4.106000e+00,6.744000e-01,5.361000e+00
2.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.497000e+00,6.152000e+00,1.497000e+00,6.152000e+00,1.106000e+00,5.524000e+00,6.172000e-01,4.483000e+00,1.164000e+00,4.064000e+00,6.058000e-01,5.524000e+00,1.075000e+00,3.589000e+00,7.708000e-01,5.524000e+00
3.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.432000e+00,5.971000e+00,1.432000e+00,5.971000e+00,8.926000e-01,4.841000e+00,1.427000e+00,4.409000e+00,1.174000e+00,3.954000e+00,5.080000e-01,4.841000e+00,1.457000e+00,3.595000e+00,9.221000e-01,4.841000e+00
4.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.551000e+00,5.792000e+00,1.551000e+00,5.792000e+00,1.015000e+00,4.768000e+00,1.284000e+00,4.123000e+00,5.409000e-01,4.085000e+00,1.001000e+00,4.768000e+00,9.476000e-01,3.851000e+00,1.476000e+00,4.768000e+00
5.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.429000e+00,6.157000e+00,1.429000e+00,6.157000e+00,6.511000e-01,4.963000e+00,5.530000e-01,4.254000e+00,8.813000e-01,4.448000e+00,8.632000e-01,4.963000e+00,5.199000e-01,3.796000e+00,1.443000e+00,4.963000e+00
6.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.505000e+00,5.835000e+00,1.505000e+00,5.835000e+00,1.498000e+00,5.362000e+00,7.838000e-01,4.068000e+00,9.133000e-01,3.794000e+00,1.333000e+00,5.362000e+00,1.215000e+00,3.495000e+00,7.862000e-01,5.362000e+00
7.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.439000e+00,5.895000e+00,1.439000e+00,5.895000e+00,5.538000e-01,5.341000e+00,6.241000e-01,4.301000e+00,6.485000e-01,3.931000e+00,7.008000e-01,5.341000e+00,1.078000e+00,3.899000e+00,5.477000e-01,5.341000e+00
8.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.505000e+00,5.846000e+00,1.505000e+00,5.846000e+00,1.360000e+00,4.847000e+00,7.899000e-01,3.782000e+00,9.380000e-01,4.317000e+00,7.083000e-01,4.847000e+00,5.122000e-01,3.641000e+00,1.410000e+00,4.847000e+00
9.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.493000e+00,5.973000e+00,1.493000e+00,5.973000e+00,5.209000e-01,5.182000e+00,7.304000e-01,3.805000e+00,5.282000e-01,4.533000e+00,7.349000e-01,5.182000e+00,9.379000e-01,3.580000e+00,8.865000e-01,5.182000e+00
1.000000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.515000e+00,6.017000e+00,1.515000e+00,6.017000e+00,8.492000e-01,5.437000e+00,1.076000e+00,4.202000e+00,1.486000e+00,3.819000e+00,1.190000e+00,5.437000e+00,1.421000e+00,3.343000e+00,1.203000e+00,5.437000e+00
