# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.604240e+03,9.611866e-01,9.551249e+00,7.691444e-01,9.021707e+00,8.751521e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.707723e-01,1.038128e+01
2.000000e+00,2.602554e+03,9.696089e-01,9.658693e+00,7.486342e-01,9.016902e+00,8.817107e-01,-1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.706395e-01,2.135297e+01
3.000000e+00,2.593051e+03,9.508445e-01,1.042727e+01,6.575842e-01,9.136859e+00,8.866100e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,9.141836e-01,3.204611e+01
4.000000e+00,2.604643e+03,9.594536e-01,1.050352e+01,6.359489e-01,9.135966e+00,8.698860e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.240065e-01,1.044648e+01
5.000000e+00,2.603024e+03,9.670203e-01,1.051513e+01,6.687612e-01,9.141069e+00,8.863188e-01,1.000000e+00,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,2.503920e-01,2.386246e+01
6.000000e+00,2.605421e+03,9.563313e-01,1.088529e+01,6.888037e-01,9.150485e+00,9.139049e-01,1.000000e+00,0.000000e+00,0.000000e+00,6.834434e-01,0.000000e+00,6.193363e-01,2.089188e+01
7.000000e+00,2.608303e+03,9.465105e-01,1.039334e+01,6.862874e-01,9.128533e+00,8.940889e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.833987e-01,9.551427e+00
8.000000e+00,2.608381e+03,9.462740e-01,1.024412e+01,7.645012e-01,9.104002e+00,8.935995e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.952778e-01,8.998263e+00
9.000000e+00,2.601726e+03,9.748803e-01,1.086109e+01,-1.000000e+00,9.183173e+00,8.662140e-01,-1.000000e+00,0.000000e+00,0.000000e+00,3.561326e-01,0.000000e+00,3.347962e-01,8.794524e-01
1.000000e+01,2.604974e+03,9.580929e-01,1.074033e+01,-1.000000e+00,9.150744e+00,8.705923e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.893301e-01,1.309008e+01
1.100000e+01,2.605841e+03,9.547463e-01,1.016878e+01,7.329388e-01,9.082360e+00,9.008443e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,7.910331e-01,3.189781e+01
1.200000e+01,2.603561e+03,9.643124e-01,9.058146e+00,7.011416e-01,8.937351e+00,-1.000000e+00,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.386064e-01,1.020302e+00
1.300000e+01,2.605894e+03,9.545523e-01,1.083904e+01,6.996579e-01,9.147008e+00,9.122091e-01,-1.000000e+00,0.000000e+00,0.000000e+00,7.195810e-01,0.000000e+00,3.132290e-01,9.398241e+00
1.400000e+01,2.606153e+03,9.536094e-01,1.025583e+01,7.067947e-01,9.110517e+00,8.933333e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.634987e-01,1.058618e+01
