# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3,pc_1_2_1_hb,pc_1_2_2_hb,pc_1_3_1_hb,pc_1_3_2_hb,pc_1_1_1,pc_1_1_2,pc_1_2_1,pc_1_2_2,pc_1_3_1,pc_1_3_2,pc_2_2_1,pc_2_2_2,pc_2_3_1,pc_2_3_2,pc_3_3_1,pc_3_3_2
1.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.414000e+00,6.249000e+00,1.414000e+00,6.249000e+00,7.996000e-01,4.661000e+00,8.964000e-01,3.838000e+00,5.284000e-01,3.747000e+00,8.959000e-01,4.661000e+00,9.440000e-01,3.842000e+00,9.267000e-01,4.661000e+00
2.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.442000e+00,6.272000e+00,1.442000e+00,6.272000e+00,8.643000e-01,5.119000e+00,6.329000e-01,4.216000e+00,7.675000e-01,4.115000e+00,5.387000e-01,5.119000e+00,9.494000e-01,3.809000e+00,1.134000e+00,5.119000e+00
3.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.491000e+00,5.713000e+00,1.491000e+00,5.713000e+00,5.978000e-01,5.238000e+00,1.017000e+00,4.314000e+00,1.252000e+00,4.211000e+00,1.154000e+00,5.238000e+00,9.544000e-01,3.876000e+00,5.342000e-01,5.238000e+00
4.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.531000e+00,6.184000e+00,1.531000e+00,6.184000e+00,9.593000e-01,4.767000e+00,8.983000e-01,3.926000e+00,1.307000e+00,3.833000e+00,5.635000e-01,4.767000e+00,6.626000e-01,3.765000e+00,1.398000e+00,4.767000e+00
5.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.546000e+00,6.108000e+00,1.546000e+00,6.108000e+00,1.131000e+00,4.973000e+00,5.590000e-01,4.095000e+00,1.235000e+00,3.998000e+00,1.330000e+00,4.973000e+00,1.159000e+00,3.828000e+00,8.975000e-01,4.973000e+00
6.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.468000e+00,6.168000e+00,1.468000e+00,6.168000e+00,5.166000e-01,4.849000e+00,7.061000e-01,3.993000e+00,1.054000e+00,3.898000e+00,8.821000e-01,4.849000e+00,5.320000e-01,3.932000e+00,1.452000e+00,4.849000e+00
7.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.594000e+00,5.753000e+00,1.594000e+00,5.753000e+00,1.380000e+00,4.689000e+00,1.283000e+00,3.861000e+00,6.888000e-01,3.769000e+00,1.291000e+00,4.689000e+00,1.336000e+00,4.021000e+00,1.048000e+00,4.689000e+00
8.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.505000e+00,6.236000e+00,1.505000e+00,6.236000e+00,5.576000e-01,5.096000e+00,7.471000e-01,4.197000e+00,1.429000e+00,4.097000e+00,9.033000e-01,5.096000e+00,1.340000e+00,3.891000e+00,9.646000e-01,5.096000e+00
9.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.508000e+00,5.967000e+00,1.508000e+00,5.967000e+00,1.142000e+00,5.144000e+00,6.250000e-01,4.236000e+00,1.126000e+00,4.135000e+00,1.162000e+00,5.144000e+00,1.342000e+00,4.079000e+00,1.308000e+00,5.144000e+00
1.000000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.453000e+00,5.760000e+00,1.453000e+00,5.760000e+00,1.211000e+00,4.840000e+00,5.289000e-01,3.986000e+00,7.246000e-01,3.891000e+00,1.462000e+00,4.840000e+00,5.292000e-01,3.800000e+00,5.858000e-01,4.840000e+00
