# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3,pc_1_2_1_hb,pc_1_2_2_hb,pc_1_3_1_hb,pc_1_3_2_hb,pc_1_1_1,pc_1_1_2,pc_1_2_1,pc_1_2_2,pc_1_3_1,pc_1_3_2,pc_2_2_1,pc_2_2_2,pc_2_3_1,pc_2_3_2,pc_3_3_1,pc_3_3_2
1.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.504000e+00,6.037000e+00,1.504000e+00,6.037000e+00,1.275000e+00,5.598000e+00,1.320000e+00,4.610000e+00,1.230000e+00,4.500000e+00,1.388000e+00,5.598000e+00,1.351000e+00,3.873000e+00,5.923000e-01,5.598000e+00
2.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.505000e+00,5.770000e+00,1.505000e+00,5.770000e+00,6.137000e-01,5.652000e+00,1.453000e+00,4.654000e+00,1.037000e+00,4.543000e+00,1.007000e+00,5.652000e+00,1.233000e+00,3.821000e+00,9.701000e-01,5.652000e+00
3.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.505000e+00,5.801000e+00,1.505000e+00,5.801000e+00,5.172000e-01,5.251000e+00,1.062000e+00,4.324000e+00,1.115000e+00,4.221000e+00,7.504000e-01,5.251000e+00,1.488000e+00,3.707000e+00,1.341000e+00,5.251000e+00
4.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.433000e+00,6.200000e+00,1.433000e+00,6.200000e+00,1.207000e+00,5.301000e+00,9.964000e-01,4.365000e+00,6.297000e-01,4.261000e+00,7.238000e-01,5.301000e+00,7.532000e-01,4.009000e+00,5.146000e-01,5.301000e+00
5.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.534000e+00,6.081000e+00,1.534000e+00,6.081000e+00,5.352000e-01,4.803000e+00,1.027000e+00,3.955000e+00,6.090000e-01,3.861000e+00,1.185000e+00,4.803000e+00,1.474000e+00,3.782000e+00,1.158000e+00,4.803000e+00
6.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.485000e+00,6.280000e+00,1.485000e+00,6.280000e+00,1.263000e+00,4.902000e+00,7.219000e-01,4.037000e+00,6.736000e-01,3.941000e+00,1.127000e+00,4.902000e+00,1.088000e+00,3.839000e+00,1.168000e+00,4.902000e+00
7.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.456000e+00,6.222000e+00,1.456000e+00,6.222000e+00,7.978000e-01,5.517000e+00,1.062000e+00,4.544000e+00,1.317000e+00,4.435000e+00,1.311000e+00,5.517000e+00,1.361000e+00,3.997000e+00,1.447000e+00,5.517000e+00
8.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.407000e+00,6.007000e+00,1.407000e+00,6.007000e+00,1.028000e+00,5.163000e+00,1.242000e+00,4.252000e+00,6.556000e-01,4.150000e+00,1.026000e+00,5.163000e+00,8.085000e-01,3.964000e+00,1.450000e+00,5.163000e+00
9.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.543000e+00,5.792000e+00,1.543000e+00,5.792000e+00,1.483000e+00,4.934000e+00,9.624000e-01,4.063000e+00,1.286000e+00,3.967000e+00,5.001000e-01,4.934000e+00,7.894000e-01,4.091000e+00,9.042000e-01,4.934000e+00
1.000000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.545000e+00,5.873000e+00,1.545000e+00,5.873000e+00,1.107000e+00,5.108000e+00,1.184000e+00,4.207000e+00,1.277000e+00,4.106000e+00,1.009000e+00,5.108000e+00,7.578000e-01,3.861000e+00,1.038000e+00,5.108000e+00
