# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,2.664019e+03,-1.000000e+00,5.271697e-01,2.391019e+01,-1.000000e+00,9.568278e+00,-1.000000e+00,-1.500000e+01
2.000000e+00,2.928499e+03,-1.000000e+00,5.272603e-01,1.364889e+01,-1.000000e+00,9.304799e+00,8.537248e-01,-5.731376e+00
3.000000e+00,2.623621e+03,9.129787e-01,5.272240e-01,1.707724e+01,-1.000000e+00,9.422518e+00,-1.000000e+00,-5.435106e+00
4.000000e+00,3.146035e+03,-1.000000e+00,5.271887e-01,1.301517e+01,-1.000000e+00,9.260898e+00,8.757415e-01,-5.621292e+00
5.000000e+00,2.953099e+03,-1.000000e+00,5.272253e-01,1.210928e+01,6.420703e-01,9.221171e+00,8.851361e-01,2.636032e+00
6.000000e+00,2.631746e+03,9.004961e-01,5.271517e-01,1.086766e+01,6.817469e-01,9.139932e+00,9.271288e-01,1.254686e+01
7.000000e+00,3.096982e+03,-1.000000e+00,5.272263e-01,1.711301e+01,-1.000000e+00,9.420910e+00,-1.000000e+00,-1.500000e+01
8.000000e+00,2.893771e+03,-1.000000e+00,5.271803e-01,2.103704e+01,-1.000000e+00,9.514858e+00,-1.000000e+00,-1.500000e+01
9.000000e+00,2.710389e+03,-1.000000e+00,5.271537e-01,2.323261e+01,-1.000000e+00,9.554699e+00,-1.000000e+00,-1.500000e+01
1.000000e+01,2.679847e+03,-1.000000e+00,5.272210e-01,1.964209e+01,-1.000000e+00,9.490889e+00,-1.000000e+00,-1.500000e+01
1.100000e+01,3.129714e+03,-1.000000e+00,5.271257e-01,1.993453e+01,-1.000000e+00,9.494958e+00,-1.000000e+00,-1.500000e+01
1.200000e+01,3.183039e+03,-1.000000e+00,5.271167e-01,1.238113e+01,6.138728e-01,9.233934e+00,8.832226e-01,2.485477e+00
1.300000e+01,2.525125e+03,-1.000000e+00,5.272380e-01,2.173839e+01,-1.000000e+00,9.525509e+00,-1.000000e+00,-1.500000e+01
1.400000e+01,2.844738e+03,-1.000000e+00,5.270913e-01,2.169628e+01,-1.000000e+00,9.524892e+00,-1.000000e+00,-1.500000e+01
1.500000e+01,2.708964e+03,-1.000000e+00,5.271633e-01,1.318859e+01,-1.000000e+00,9.279337e+00,8.662318e-01,-5.668841e+00
1.600000e+01,2.907516e+03,-1.000000e+00,5.271307e-01,2.509715e+01,-1.000000e+00,9.580331e+00,-1.000000e+00,-1.500000e+01
1.700000e+01,2.866394e+03,-1.000000e+00,5.271970e-01,1.403491e+01,-1.000000e+00,9.310224e+00,8.551812e-01,-5.724094e+00
1.800000e+01,2.905156e+03,-1.000000e+00,5.272127e-01,1.774476e+01,-1.000000e+00,9.453811e+00,-1.000000e+00,-1.500000e+01
