# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3
1.000000e+00,7.281000e+01,9.368000e+01,1.276000e+02,2.555000e+01,3.200000e+01,2.518000e+01,2.251000e+01,2.143000e+01,1.850000e+01,7.757000e-01,7.089000e-01,7.741000e-01
2.000000e+00,6.589000e+01,8.477000e+01,1.155000e+02,3.170000e+01,3.970000e+01,3.124000e+01,2.792000e+01,2.658000e+01,2.295000e+01,1.713000e-01,1.566000e-01,1.709000e-01
3.000000e+00,7.823000e+01,1.007000e+02,1.371000e+02,2.597000e+01,3.252000e+01,2.559000e+01,2.288000e+01,2.178000e+01,1.880000e+01,5.721000e-01,5.228000e-01,5.709000e-01
4.000000e+00,6.605000e+01,8.498000e+01,1.158000e+02,3.314000e+01,4.150000e+01,3.266000e+01,2.919000e+01,2.779000e+01,2.399000e+01,3.773000e-01,3.448000e-01,3.765000e-01
5.000000e+00,7.724000e+01,9.938000e+01,1.354000e+02,3.134000e+01,3.925000e+01,3.088000e+01,2.761000e+01,2.628000e+01,2.269000e+01,3.567000e-01,3.260000e-01,3.560000e-01
6.000000e+00,6.273000e+01,8.071000e+01,1.100000e+02,2.789000e+01,3.493000e+01,2.748000e+01,2.457000e+01,2.339000e+01,2.019000e+01,8.287000e-01,7.573000e-01,8.270000e-01
7.000000e+00,7.818000e+01,1.006000e+02,1.371000e+02,3.150000e+01,3.945000e+01,3.104000e+01,2.775000e+01,2.642000e+01,2.281000e+01,6.425000e-01,5.872000e-01,6.412000e-01
8.000000e+00,6.711000e+01,8.634000e+01,1.177000e+02,2.878000e+01,3.604000e+01,2.836000e+01,2.535000e+01,2.413000e+01,2.084000e+01,7.446000e-01,6.805000e-01,7.430000e-01
9.000000e+00,6.598000e+01,8.489000e+01,1.157000e+02,2.655000e+01,3.325000e+01,2.616000e+01,2.339000e+01,2.226000e+01,1.922000e+01,3.212000e-01,2.935000e-01,3.205000e-01
1.000000e+01,7.530000e+01,9.688000e+01,1.320000e+02,2.716000e+01,3.402000e+01,2.676000e+01,2.393000e+01,2.278000e+01,1.966000e+01,7.503000e-01,6.857000e-01,7.487000e-01
1.100000e+01,6.621000e+01,8.519000e+01,1.161000e+02,3.408000e+01,4.268000e+01,3.358000e+01,3.002000e+01,2.858000e+01,2.467000e+01,7.627000e-01,6.970000e-01,7.611000e-01
1.200000e+01,7.834000e+01,1.008000e+02,1.373000e+02,2.670000e+01,3.344000e+01,2.631000e+01,2.352000e+01,2.239000e+01,1.933000e+01,7.883000e-01,7.204000e-01,7.866000e-01
1.300000e+01,6.553000e+01,8.431000e+01,1.149000e+02,2.865000e+01,3.588000e+01,2.823000e+01,2.524000e+01,2.403000e+01,2.074000e+01,8.265000e-01,7.553000e-01,8.248000e-01
1.400000e+01,6.279000e+01,8.079000e+01,1.101000e+02,3.003000e+01,3.761000e+01,2.959000e+01,2.645000e+01,2.518000e+01,2.174000e+01,4.535000e-01,4.145000e-01,4.525000e-01
1.500000e+01,7.922000e+01,1.019000e+02,1.389000e+02,3.068000e+01,3.842000e+01,3.023000e+01,2.703000e+01,2.573000e+01,2.221000e+01,6.835000e-01,6.247000e-01,6.821000e-01
1.600000e+01,6.149000e+01,7.911000e+01,1.078000e+02,3.148000e+01,3.943000e+01,3.102000e+01,2.773000e+01,2.640000e+01,2.279000e+01,7.895000e-01,7.215000e-01,7.878000e-01
1.700000e+01,7.996000e+01,1.029000e+02,1.402000e+02,3.365000e+01,4.214000e+01,3.316000e+01,2.964000e+01,2.822000e+01,2.436000e+01,3.319000e-01,3.033000e-01,3.312000e-01
1.800000e+01,7.601000e+01,9.779000e+01,1.333000e+02,2.539000e+01,3.180000e+01,2.502000e+01,2.237000e+01,2.129000e+01,1.838000e+01,4.215000e-01,3.852000e-01,4.206000e-01
1.900000e+01,7.624000e+01,9.809000e+01,1.337000e+02,2.736000e+01,3.427000e+01,2.696000e+01,2.410000e+01,2.294000e+01,1.981000e+01,2.857000e-01,2.611000e-01,2.851000e-01
2.000000e+01,7.557000e+01,9.723000e+01,1.325000e+02,2.503000e+01,3.135000e+01,2.466000e+01,2.205000e+01,2.099000e+01,1.812000e+01,2.926000e-01,2.674000e-01,2.920000e-01
2.100000e+01,7.949000e+01,1.023000e+02,1.394000e+02,2.940000e+01,3.682000e+01,2.897000e+01,2.590000e+01,2.465000e+01,2.129000e+01,5.552000e-01,5.074000e-01,5.540000e-01
2.200000e+01,7.889000e+01,1.015000e+02,1.383000e+02,2.679000e+01,3.355000e+01,2.640000e+01,2.360000e+01,2.247000e+01,1.940000e+01,4.790000e-01,4.378000e-01,4.780000e-01
2.300000e+01,6.780000e+01,8.723000e+01,1.189000e+02,3.144000e+01,3.938000e+01,3.098000e+01,2.770000e+01,2.637000e+01,2.276000e+01,2.827000e-01,2.584000e-01,2.821000e-01
