# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.603292e+03,9.656403e-01,9.900942e+00,7.671304e-01,9.070692e+00,8.821161e-01,1.000000e+00,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,3.651601e-01,2.490024e+01
2.000000e+00,2.600007e+03,9.983553e-01,1.007370e+01,7.023924e-01,9.127356e+00,8.892131e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.313501e-01,8.193851e-01,9.698010e-01,8.399332e+01
3.000000e+00,2.600936e+03,9.813776e-01,9.292670e+00,7.834978e-01,9.009753e+00,8.795941e-01,1.000000e+00,0.000000e+00,0.000000e+00,7.088724e-01,0.000000e+00,2.794933e-01,1.961981e+01
4.000000e+00,2.600047e+03,9.957820e-01,8.925016e+00,7.542927e-01,8.978511e+00,8.724862e-01,1.000000e+00,0.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,2.929794e-01,2.207770e+01
5.000000e+00,2.597591e+03,9.704617e-01,1.040713e+01,6.609453e-01,9.115495e+00,8.664342e-01,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.053374e-01,2.551589e+01
6.000000e+00,2.600459e+03,9.868935e-01,1.024276e+01,6.683556e-01,9.117682e+00,8.674711e-01,1.000000e+00,0.000000e+00,0.000000e+00,7.706613e-01,3.471262e-01,8.755209e-01,4.629004e+01
7.000000e+00,2.610146e+03,9.412036e-01,9.708812e+00,7.844832e-01,9.064726e+00,8.899327e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,3.767223e-01,2.996171e+01
8.000000e+00,2.603043e+03,9.669206e-01,9.502640e+00,6.984385e-01,8.980793e+00,8.569883e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,7.876960e-01,3.155022e+01
9.000000e+00,2.603588e+03,9.641828e-01,8.886673e+00,7.107860e-01,8.963195e+00,8.662955e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.983657e-01,7.907752e-01,9.784525e-01,8.148418e+01
1.000000e+01,2.601771e+03,9.745640e-01,1.067296e+01,6.352014e-01,9.173672e+00,8.816072e-01,1.000000e+00,0.000000e+00,1.000000e+00,8.675934e-01,0.000000e+00,8.712612e-01,2.681317e+01
