# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3,pc_1_2_1_hb,pc_1_2_2_hb,pc_1_3_1_hb,pc_1_3_2_hb,pc_1_1_1,pc_1_1_2,pc_1_2_1,pc_1_2_2,pc_1_3_1,pc_1_3_2,pc_2_2_1,pc_2_2_2,pc_2_3_1,pc_2_3_2,pc_3_3_1,pc_3_3_2
1.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.596000e+00,6.421000e+00,1.596000e+00,6.421000e+00,1.086000e+00,5.140000e+00,1.086000e+00,4.233000e+00,1.086000e+00,4.132000e+00,1.086000e+00,5.140000e+00,5.034000e-01,4.064000e+00,1.086000e+00,5.140000e+00
2.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.576000e+00,6.511000e+00,1.576000e+00,6.511000e+00,9.969000e-01,5.200000e+00,9.969000e-01,4.282000e+00,9.969000e-01,4.180000e+00,9.969000e-01,5.200000e+00,5.427000e-01,4.083000e+00,9.969000e-01,5.200000e+00
3.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.461000e+00,6.068000e+00,1.461000e+00,6.068000e+00,9.152000e-01,5.174000e+00,9.152000e-01,4.261000e+00,9.152000e-01,4.160000e+00,9.152000e-01,5.174000e+00,5.716000e-01,4.055000e+00,9.152000e-01,5.174000e+00
4.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.486000e+00,6.195000e+00,1.486000e+00,6.195000e+00,9.720000e-01,5.139000e+00,9.720000e-01,4.232000e+00,9.720000e-01,4.131000e+00,9.720000e-01,5.139000e+00,5.029000e-01,4.074000e+00,9.720000e-01,5.139000e+00
5.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.568000e+00,6.426000e+00,1.568000e+00,6.426000e+00,1.088000e+00,5.201000e+00,1.088000e+00,4.283000e+00,1.088000e+00,4.181000e+00,1.088000e+00,5.201000e+00,5.497000e-01,4.056000e+00,1.088000e+00,5.201000e+00
6.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.557000e+00,6.081000e+00,1.557000e+00,6.081000e+00,9.531000e-01,5.147000e+00,9.531000e-01,4.238000e+00,9.531000e-01,4.138000e+00,9.531000e-01,5.147000e+00,5.268000e-01,4.063000e+00,9.531000e-01,5.147000e+00
7.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.516000e+00,6.004000e+00,1.516000e+00,6.004000e+00,1.096000e+00,5.187000e+00,1.096000e+00,4.272000e+00,1.096000e+00,4.170000e+00,1.096000e+00,5.187000e+00,5.502000e-01,4.061000e+00,1.096000e+00,5.187000e+00
8.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.589000e+00,6.502000e+00,1.589000e+00,6.502000e+00,1.005000e+00,5.168000e+00,1.005000e+00,4.256000e+00,1.005000e+00,4.155000e+00,1.005000e+00,5.168000e+00,5.930000e-01,4.070000e+00,1.005000e+00,5.168000e+00
9.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.493000e+00,6.418000e+00,1.493000e+00,6.418000e+00,1.052000e+00,5.177000e+00,1.052000e+00,4.264000e+00,1.052000e+00,4.162000e+00,1.052000e+00,5.177000e+00,5.223000e-01,4.050000e+00,1.052000e+00,5.177000e+00
1.000000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.464000e+00,6.306000e+00,1.464000e+00,6.306000e+00,9.657000e-01,5.129000e+00,9.657000e-01,4.224000e+00,9.657000e-01,4.124000e+00,9.657000e-01,5.129000e+00,5.328000e-01,4.050000e+00,9.657000e-01,5.129000e+00
1.100000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.439000e+00,6.063000e+00,1.439000e+00,6.063000e+00,1.064000e+00,5.105000e+00,1.064000e+00,4.204000e+00,1.064000e+00,4.104000e+00,1.064000e+00,5.105000e+00,5.145000e-01,4.056000e+00,1.064000e+00,5.105000e+00
1.200000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.464000e+00,6.513000e+00,1.464000e+00,6.513000e+00,1.067000e+00,5.123000e+00,1.067000e+00,4.219000e+00,1.067000e+00,4.119000e+00,1.067000e+00,5.123000e+00,5.476000e-01,4.052000e+00,1.067000e+00,5.123000e+00
1.300000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.421000e+00,6.493000e+00,1.421000e+00,6.493000e+00,9.122000e-01,5.102000e+00,9.122000e-01,4.202000e+00,9.122000e-01,4.102000e+00,9.122000e-01,5.102000e+00,5.854000e-01,4.085000e+00,9.122000e-01,5.102000e+00
1.400000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.558000e+00,6.288000e+00,1.558000e+00,6.288000e+00,1.095000e+00,5.142000e+00,1.095000e+00,4.235000e+00,1.095000e+00,4.134000e+00,1.095000e+00,5.142000e+00,5.009000e-01,4.055000e+00,1.095000e+00,5.142000e+00
1.500000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.461000e+00,6.005000e+00,1.461000e+00,6.005000e+00,1.001000e+00,5.127000e+00,1.001000e+00,4.223000e+00,1.001000e+00,4.122000e+00,1.001000e+00,5.127000e+00,5.446000e-01,4.059000e+00,1.001000e+00,5.127000e+00
1.600000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.434000e+00,6.560000e+00,1.434000e+00,6.560000e+00,9.401000e-01,5.130000e+00,9.401000e-01,4.225000e+00,9.401000e-01,4.124000e+00,9.401000e-01,5.130000e+00,5.936000e-01,4.073000e+00,9.401000e-01,5.130000e+00
