# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.601690e+03,9.751421e-01,1.049558e+01,6.260565e-01,9.148881e+00,8.654811e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.145678e-01,2.090624e+01
2.000000e+00,2.607697e+03,9.483997e-01,1.042965e+01,7.161325e-01,9.139167e+00,8.925648e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.875428e-01,9.723199e+00
3.000000e+00,2.600677e+03,9.841254e-01,9.829156e+00,7.540579e-01,9.101429e+00,8.902482e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.616486e-01,1.995040e+01
4.000000e+00,2.607757e+03,9.482074e-01,9.412562e+00,8.226673e-01,9.029165e+00,8.742792e-01,1.000000e+00,5.000000e-01,5.000000e-01,7.708682e-01,0.000000e+00,4.879297e-01,2.566542e+01
5.000000e+00,2.603017e+03,9.670599e-01,1.131453e+01,6.269882e-01,9.185292e+00,8.863051e-01,1.000000e+00,5.000000e-01,5.000000e-01,7.697665e-01,0.000000e+00,4.410021e-01,2.460678e+01
6.000000e+00,2.605146e+03,9.574054e-01,1.013540e+01,7.511405e-01,9.088821e+00,8.910525e-01,-1.000000e+00,0.000000e+00,0.000000e+00,8.579283e-01,7.043371e-01,7.798004e-01,6.120059e+01
7.000000e+00,2.601444e+03,9.769776e-01,9.329827e+00,7.853798e-01,9.051254e+00,8.695153e-01,1.000000e+00,0.000000e+00,0.000000e+00,6.838629e-01,0.000000e+00,4.871445e-01,2.059509e+01
8.000000e+00,2.602469e+03,9.701055e-01,8.713782e+00,7.302555e-01,9.001281e+00,8.588150e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.116156e-01,2.185396e+01
9.000000e+00,2.602909e+03,9.676348e-01,1.128942e+01,6.278723e-01,9.185239e+00,8.822783e-01,1.000000e+00,5.000000e-01,5.000000e-01,7.355025e-01,0.000000e+00,2.850646e-01,2.381425e+01
1.000000e+01,2.602836e+03,9.680287e-01,1.025937e+01,7.241769e-01,9.104324e+00,8.929158e-01,1.000000e+00,0.000000e+00,0.000000e+00,8.520321e-01,0.000000e+00,4.212980e-01,2.003210e+01
