# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3,pc_1_2_1_hb,pc_1_2_2_hb,pc_1_3_1_hb,pc_1_3_2_hb,pc_1_1_1,pc_1_1_2,pc_1_2_1,pc_1_2_2,pc_1_3_1,pc_1_3_2,pc_2_2_1,pc_2_2_2,pc_2_3_1,pc_2_3_2,pc_3_3_1,pc_3_3_2
1.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.455000e+00,6.089000e+00,1.455000e+00,6.089000e+00,9.596000e-01,5.512000e+00,9.613000e-01,4.511000e+00,1.113000e+00,4.294000e+00,7.886000e-01,5.512000e+00,1.183000e+00,3.828000e+00,7.165000e-01,5.512000e+00
2.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.553000e+00,5.935000e+00,1.553000e+00,5.935000e+00,1.181000e+00,5.473000e+00,9.048000e-01,3.741000e+00,1.392000e+00,4.089000e+00,1.164000e+00,5.473000e+00,7.786000e-01,3.618000e+00,1.494000e+00,5.473000e+00
3.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.581000e+00,6.135000e+00,1.581000e+00,6.135000e+00,6.923000e-01,5.403000e+00,9.186000e-01,4.562000e+00,9.432000e-01,4.450000e+00,6.829000e-01,5.403000e+00,1.320000e+00,3.505000e+00,1.441000e+00,5.403000e+00
4.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.598000e+00,5.903000e+00,1.598000e+00,5.903000e+00,1.323000e+00,5.374000e+00,6.367000e-01,4.500000e+00,5.895000e-01,3.978000e+00,7.786000e-01,5.374000e+00,7.006000e-01,3.390000e+00,1.052000e+00,5.374000e+00
5.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.468000e+00,6.063000e+00,1.468000e+00,6.063000e+00,7.473000e-01,5.225000e+00,9.917000e-01,4.613000e+00,1.091000e+00,3.924000e+00,1.062000e+00,5.225000e+00,7.144000e-01,3.422000e+00,1.067000e+00,5.225000e+00
6.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.569000e+00,6.035000e+00,1.569000e+00,6.035000e+00,9.897000e-01,5.291000e+00,1.198000e+00,4.649000e+00,1.011000e+00,4.392000e+00,1.455000e+00,5.291000e+00,1.421000e+00,3.507000e+00,1.436000e+00,5.291000e+00
7.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.528000e+00,5.927000e+00,1.528000e+00,5.927000e+00,8.992000e-01,5.054000e+00,5.088000e-01,4.499000e+00,1.193000e+00,4.486000e+00,8.329000e-01,5.054000e+00,9.532000e-01,3.964000e+00,8.883000e-01,5.054000e+00
8.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.447000e+00,6.159000e+00,1.447000e+00,6.159000e+00,6.811000e-01,5.596000e+00,6.901000e-01,4.292000e+00,6.414000e-01,4.429000e+00,1.332000e+00,5.596000e+00,1.463000e+00,3.486000e+00,5.983000e-01,5.596000e+00
9.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.542000e+00,5.971000e+00,1.542000e+00,5.971000e+00,1.345000e+00,5.224000e+00,8.871000e-01,4.263000e+00,5.261000e-01,4.325000e+00,5.018000e-01,5.224000e+00,1.150000e+00,4.041000e+00,1.175000e+00,5.224000e+00
1.000000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.586000e+00,5.900000e+00,1.586000e+00,5.900000e+00,7.093000e-01,5.220000e+00,5.974000e-01,4.342000e+00,7.333000e-01,4.477000e+00,5.996000e-01,5.220000e+00,1.063000e+00,3.587000e+00,6.474000e-01,5.220000e+00
