# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.607672e+03,9.484763e-01,1.021456e+01,7.202276e-01,9.088852e+00,9.087732e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.589926e-01,9.682348e+00
2.000000e+00,2.603729e+03,9.635086e-01,9.544156e+00,8.045289e-01,9.039351e+00,8.866018e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.524471e-01,1.953543e+01
3.000000e+00,2.608435e+03,9.461122e-01,9.609269e+00,7.581590e-01,9.056679e+00,8.640073e-01,-1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,8.813091e-01,2.224794e+01
4.000000e+00,2.607103e+03,9.503290e-01,1.000554e+01,7.869285e-01,9.086140e+00,8.851003e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.297927e-01,1.176075e+01
5.000000e+00,2.599292e+03,9.837623e-01,1.032877e+01,7.071251e-01,9.104455e+00,8.835398e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,8.852309e-01,3.229829e+01
6.000000e+00,2.598963e+03,9.804184e-01,1.035619e+01,6.223891e-01,9.129861e+00,8.598864e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.527930e-01,2.107743e+01
7.000000e+00,2.599358e+03,9.845305e-01,1.120556e+01,-1.000000e+00,9.183469e+00,8.744939e-01,1.000000e+00,0.000000e+00,0.000000e+00,7.292790e-01,0.000000e+00,3.494301e-01,1.104227e+01
8.000000e+00,2.605466e+03,9.561605e-01,9.393133e+00,7.817539e-01,9.039031e+00,8.788033e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.435433e-01,0.000000e+00,7.721782e-01,3.194448e+01
9.000000e+00,2.598626e+03,9.775310e-01,7.472354e+00,6.416539e-01,8.811208e+00,-1.000000e+00,1.000000e+00,5.000000e-01,5.000000e-01,8.143651e-01,0.000000e+00,3.746116e-01,1.496898e+01
1.000000e+01,2.600189e+03,9.915427e-01,1.066955e+01,6.448994e-01,9.147230e+00,8.836183e-01,1.000000e+00,0.000000e+00,0.000000e+00,6.795670e-01,0.000000e+00,2.507638e-01,1.885412e+01
1.100000e+01,2.605213e+03,9.571425e-01,9.648245e+00,6.852773e-01,8.984735e+00,8.572168e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.670497e-01,8.608367e-01,2.180237e+01
1.200000e+01,2.599660e+03,9.886878e-01,1.035595e+01,7.229676e-01,9.109988e+00,8.833981e-01,-1.000000e+00,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,8.265633e-01,1.710808e+01
