# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.602147e+03,9.720669e-01,1.039568e+01,7.092842e-01,9.116166e+00,9.072026e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.755990e-01,9.820763e+00
2.000000e+00,2.604151e+03,9.615767e-01,1.029784e+01,7.096068e-01,9.109684e+00,9.133147e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.260537e-01,1.055276e+01
3.000000e+00,2.600201e+03,9.912884e-01,9.753630e+00,7.253371e-01,9.102164e+00,8.726450e-01,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,8.759774e-01,2.732624e+01
4.000000e+00,2.601274e+03,9.783412e-01,1.138376e+01,6.254986e-01,9.194037e+00,8.840656e-01,1.000000e+00,0.000000e+00,0.000000e+00,9.687501e-01,0.000000e+00,7.422929e-01,2.115099e+01
5.000000e+00,2.604165e+03,9.615183e-01,1.017419e+01,6.924586e-01,9.115352e+00,8.750093e-01,1.000000e+00,0.000000e+00,0.000000e+00,7.057786e-01,0.000000e+00,4.617393e-01,1.995363e+01
6.000000e+00,2.603512e+03,9.645495e-01,1.065308e+01,6.647843e-01,9.147842e+00,8.987334e-01,1.000000e+00,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,3.906533e-01,2.459360e+01
7.000000e+00,2.609322e+03,9.435055e-01,9.863336e+00,7.946786e-01,9.056617e+00,8.830550e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.194014e-01,1.020320e+01
8.000000e+00,2.600052e+03,9.955629e-01,1.020883e+01,6.476463e-01,9.140425e+00,8.753517e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.586237e-01,2.038592e+01
9.000000e+00,2.605641e+03,9.554946e-01,1.166831e+01,6.310098e-01,9.178025e+00,9.088489e-01,1.000000e+00,0.000000e+00,0.000000e+00,8.339246e-01,0.000000e+00,5.164489e-01,2.005901e+01
1.000000e+01,2.604415e+03,9.604219e-01,9.363856e+00,7.834434e-01,9.043013e+00,8.677205e-01,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,4.811835e-01,2.546385e+01
1.100000e+01,2.600476e+03,9.866470e-01,1.098317e+01,6.485442e-01,9.156441e+00,9.019509e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.573525e-01,1.947247e+01
1.200000e+01,2.601590e+03,9.758701e-01,1.061330e+01,6.173130e-01,9.171909e+00,8.766077e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,8.327165e-01,3.151254e+01
1.300000e+01,2.606571e+03,9.521354e-01,1.078950e+01,7.014628e-01,9.135439e+00,9.058978e-01,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.088657e-01,1.134181e+01
1.400000e+01,2.606276e+03,9.531692e-01,9.749574e+00,8.079503e-01,9.068257e+00,8.777520e-01,1.000000e+00,0.000000e+00,0.000000e+00,9.121939e-01,0.000000e+00,5.741427e-01,2.106507e+01
1.500000e+01,2.603650e+03,9.638862e-01,9.727825e+00,7.293987e-01,9.081225e+00,8.631916e-01,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,7.644878e-01,8.821157e-01,2.719296e+01
1.600000e+01,2.597010e+03,9.672014e-01,1.091522e+01,6.850652e-01,9.165574e+00,9.051575e-01,-1.000000e+00,0.000000e+00,0.000000e+00,4.088091e-01,0.000000e+00,2.337697e-01,8.955969e+00
1.700000e+01,2.602954e+03,9.673911e-01,1.022487e+01,6.793106e-01,9.105128e+00,8.694200e-01,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,7.839804e-01,2.650051e+01
1.800000e+01,2.606437e+03,9.526020e-01,1.032312e+01,7.006945e-01,9.119971e+00,8.882394e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.479372e-01,1.894737e+01
1.900000e+01,2.602157e+03,9.720062e-01,9.743584e+00,7.803981e-01,9.059812e+00,8.842011e-01,-1.000000e+00,5.000000e-01,5.000000e-01,0.000000e+00,0.000000e+00,4.118263e-01,1.524216e+01
2.000000e+01,2.601774e+03,9.745439e-01,1.042302e+01,7.001430e-01,9.118369e+00,9.030220e-01,1.000000e+00,0.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,2.906594e-01,2.184184e+01
2.100000e+01,2.600566e+03,9.854638e-01,1.002521e+01,7.329131e-01,9.067703e+00,9.030090e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,9.848147e-01,3.303100e+01
2.200000e+01,2.598564e+03,9.770366e-01,1.049105e+01,6.886890e-01,9.137438e+00,8.990787e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.588099e-01,2.111807e+01
2.300000e+01,2.605833e+03,9.547779e-01,1.039294e+01,6.984656e-01,9.117362e+00,9.123285e-01,1.000000e+00,5.000000e-01,5.000000e-01,7.735589e-01,0.000000e+00,4.849474e-01,2.525260e+01
2.400000e+01,2.604341e+03,9.607450e-01,9.957749e+00,8.117905e-01,9.083835e+00,8.831734e-01,-1.000000e+00,5.000000e-01,5.000000e-01,7.460148e-01,0.000000e+00,4.860340e-01,1.570871e+01
2.500000e+01,2.605624e+03,9.555566e-01,1.045471e+01,6.713004e-01,9.132331e+00,8.909270e-01,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.381855e-01,2.077985e+01
2.600000e+01,2.603920e+03,9.626229e-01,1.003794e+01,7.304334e-01,9.072340e+00,9.004666e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,7.450731e-01,9.092935e-01,3.251408e+01
2.700000e+01,2.601859e+03,9.739559e-01,9.651448e+00,7.855772e-01,9.051666e+00,8.781515e-01,1.000000e+00,5.000000e-01,5.000000e-01,7.252932e-01,0.000000e+00,2.696152e-01,2.453650e+01
2.800000e+01,2.609600e+03,9.427153e-01,9.902775e+00,7.031867e-01,9.043835e+00,8.888821e-01,1.000000e+00,0.000000e+00,5.000000e-01,6.736181e-01,0.000000e+00,4.547295e-01,2.244757e+01
2.900000e+01,2.603997e+03,9.622713e-01,1.015568e+01,7.182447e-01,9.105479e+00,8.852485e-01,1.000000e+00,0.000000e+00,0.000000e+00,7.712508e-01,0.000000e+00,6.777386e-01,2.121752e+01
3.000000e+01,2.603584e+03,9.642003e-01,1.053294e+01,6.900649e-01,9.131217e+00,8.956496e-01,1.000000e+00,0.000000e+00,0.000000e+00,3.458659e-01,0.000000e+00,3.209252e-01,1.935420e+01
