# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.606854e+03,9.511625e-01,9.688692e+00,8.156046e-01,9.021236e+00,8.878251e-01,9.186405e-01,2.179148e-01,2.216287e-01,5.319561e-01,3.777081e-01,5.010219e-01,5.440724e+01
2.000000e+00,2.604541e+03,9.598863e-01,1.030109e+01,7.301748e-01,9.101226e+00,8.937836e-01,8.280295e-01,2.439443e-01,2.488083e-01,8.466838e-01,4.740967e-01,6.377877e-01,6.893939e+01
3.000000e+00,2.612838e+03,9.343456e-01,1.042827e+01,6.260714e-01,9.153970e+00,8.695330e-01,7.282355e-01,5.515512e-01,6.106011e-01,6.498731e-01,5.392538e-01,3.630229e-01,6.503625e+01
4.000000e+00,2.606395e+03,9.527491e-01,1.015150e+01,7.345601e-01,9.073126e+00,9.043415e-01,1.000000e+00,2.456318e-01,2.503048e-01,7.605551e-01,3.418248e-01,4.536040e-01,6.128925e+01
5.000000e+00,2.607540e+03,9.488997e-01,1.061303e+01,6.806576e-01,9.107963e+00,9.147701e-01,1.000000e+00,5.137058e-01,5.146356e-01,4.695134e-01,3.412321e-01,5.716677e-01,5.409778e+01
6.000000e+00,2.600623e+03,9.847528e-01,1.056607e+01,6.469491e-01,9.158020e+00,8.912464e-01,1.000000e+00,5.661697e-01,6.007141e-01,5.155183e-01,3.491796e-01,6.167767e-01,5.679747e+01
7.000000e+00,2.602402e+03,9.705036e-01,9.792610e+00,7.720266e-01,9.057321e+00,8.889260e-01,1.000000e+00,5.074788e-01,5.339489e-01,3.491657e-01,3.802168e-01,7.348638e-01,5.256713e+01
8.000000e+00,2.605410e+03,9.563727e-01,8.954741e+00,7.205845e-01,9.012809e+00,8.514781e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.808039e-01,5.643871e-01,9.573485e-01,6.901061e+01
9.000000e+00,2.602023e+03,9.728639e-01,8.972741e+00,7.166459e-01,8.971634e+00,8.685244e-01,1.000000e+00,3.114251e-01,3.106156e-01,5.224892e-01,2.954022e-01,4.527095e-01,5.179012e+01
1.000000e+01,2.598771e+03,9.787249e-01,1.090132e+01,6.524847e-01,9.150179e+00,8.903493e-01,7.267494e-01,2.460419e-01,2.460025e-01,8.203033e-01,5.383117e-01,5.366622e-01,6.893660e+01
1.100000e+01,2.603175e+03,9.662341e-01,9.761455e+00,7.468674e-01,9.042382e+00,8.948381e-01,1.000000e+00,2.452791e-01,2.479137e-01,8.449712e-01,6.365199e-01,6.546519e-01,7.563111e+01
1.200000e+01,2.600931e+03,9.814306e-01,1.099465e+01,6.226111e-01,9.182464e+00,8.794202e-01,7.046314e-01,9.588691e-01,1.000000e+00,5.481236e-01,6.951488e-01,7.785987e-01,7.314234e+01
1.300000e+01,2.604602e+03,9.596288e-01,1.106133e+01,6.224088e-01,9.170664e+00,8.901910e-01,6.960578e-01,1.000000e+00,1.000000e+00,4.862507e-01,4.547352e-01,5.524905e-01,6.153839e+01
1.400000e+01,2.599910e+03,9.941615e-01,1.105751e+01,6.712742e-01,9.167969e+00,9.048690e-01,6.492050e-01,2.466542e-01,2.523150e-01,5.259858e-01,3.867168e-01,2.574509e-01,5.182424e+01
1.500000e+01,2.602411e+03,9.704474e-01,1.099296e+01,6.413493e-01,9.182046e+00,8.803044e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.611650e-01,2.943190e-01,4.129622e-01,5.946725e+01
1.600000e+01,2.594858e+03,9.574236e-01,8.583560e+00,6.702464e-01,8.917744e+00,8.430788e-01,1.000000e+00,5.180491e-01,5.526986e-01,4.335128e-01,3.055352e-01,4.356622e-01,5.075247e+01
1.700000e+01,2.613088e+03,9.337515e-01,9.349015e+00,7.834667e-01,9.042964e+00,8.657884e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.525796e-01,4.170386e-01,2.912206e-01,5.980777e+01
1.800000e+01,2.602191e+03,9.717878e-01,9.474964e+00,7.846391e-01,9.008036e+00,8.762203e-01,1.000000e+00,5.312223e-01,5.620218e-01,4.601533e-01,6.096589e-01,7.839889e-01,6.499283e+01
1.900000e+01,2.600385e+03,9.879835e-01,1.120760e+01,6.235092e-01,9.181927e+00,8.824809e-01,1.000000e+00,2.421151e-01,2.462880e-01,6.887009e-01,4.290553e-01,5.798330e-01,6.193251e+01
2.000000e+01,2.604827e+03,9.586932e-01,1.067873e+01,6.560072e-01,9.161402e+00,8.930417e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.769677e-01,4.729125e-01,2.258602e-01,6.891382e+01
2.100000e+01,2.603593e+03,9.641558e-01,1.048438e+01,7.201839e-01,9.120170e+00,9.040001e-01,7.999302e-01,3.481924e-01,3.483099e-01,4.556301e-01,2.658928e-01,3.062750e-01,4.720854e+01
2.200000e+01,2.602411e+03,9.704468e-01,9.950832e+00,8.050797e-01,9.069736e+00,8.789075e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.762743e-01,4.775502e-01,9.019701e-01,6.616588e+01
2.300000e+01,2.606554e+03,9.521940e-01,9.910785e+00,7.490891e-01,9.102330e+00,8.801764e-01,8.331425e-01,4.921922e-01,4.120366e-01,7.377972e-01,4.189699e-01,5.540057e-01,6.485103e+01
2.400000e+01,2.605557e+03,9.558116e-01,1.088752e+01,6.787975e-01,9.145042e+00,9.142541e-01,1.000000e+00,4.183177e-01,4.790303e-01,4.038301e-01,2.868757e-01,2.284776e-01,4.754815e+01
2.500000e+01,2.605363e+03,9.565581e-01,1.013761e+01,7.650921e-01,9.096090e+00,8.936264e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.530600e-01,3.181593e-01,4.470803e-01,6.080446e+01
2.600000e+01,2.606139e+03,9.536612e-01,9.425934e+00,7.239621e-01,9.025592e+00,8.821649e-01,7.966199e-01,1.000000e+00,1.000000e+00,8.228273e-01,5.148738e-01,6.226943e-01,7.671505e+01
2.700000e+01,2.609712e+03,9.424023e-01,1.007286e+01,7.098262e-01,9.067032e+00,9.068666e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.774056e-01,4.327772e-01,6.311495e-01,6.630762e+01
2.800000e+01,2.604397e+03,9.605008e-01,9.479765e+00,7.159812e-01,9.017301e+00,8.772526e-01,1.000000e+00,7.634716e-01,7.690206e-01,7.205533e-01,5.993893e-01,8.076082e-01,7.566716e+01
2.900000e+01,2.604133e+03,9.616583e-01,8.769378e+00,6.950724e-01,8.938270e+00,8.540107e-01,1.000000e+00,5.412898e-01,5.740581e-01,4.474817e-01,5.452739e-01,8.006158e-01,6.187997e+01
3.000000e+01,2.597816e+03,9.718343e-01,9.859328e+00,7.875513e-01,9.088486e+00,8.860110e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.996169e-01,4.008804e-01,4.481147e-01,7.248496e+01
3.100000e+01,2.600845e+03,9.822886e-01,9.090404e+00,7.242937e-01,9.017486e+00,8.623554e-01,1.000000e+00,5.704656e-01,7.427688e-01,4.689404e-01,4.637909e-01,6.077990e-01,6.009545e+01
3.200000e+01,2.603237e+03,9.659166e-01,9.530301e+00,7.516753e-01,9.020200e+00,8.851789e-01,7.367188e-01,2.450411e-01,2.448568e-01,7.298410e-01,4.059669e-01,5.643198e-01,6.172181e+01
3.300000e+01,2.600129e+03,9.930073e-01,1.029381e+01,6.980687e-01,9.131488e+00,8.929204e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.351808e-01,3.412570e-01,7.777208e-01,5.898391e+01
3.400000e+01,2.603191e+03,9.661529e-01,9.901490e+00,7.695521e-01,9.086270e+00,8.909578e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.267011e-01,3.861279e-01,4.020632e-01,5.859265e+01
3.500000e+01,2.606054e+03,9.539689e-01,8.997573e+00,7.512336e-01,9.019232e+00,8.621015e-01,7.902836e-01,2.897603e-01,2.901427e-01,4.460263e-01,3.033083e-01,3.106239e-01,4.746729e+01
3.600000e+01,2.607139e+03,9.502084e-01,1.057575e+01,6.668762e-01,9.139205e+00,8.876334e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.324385e-01,8.339768e-01,8.714782e-01,7.970552e+01
3.700000e+01,2.603622e+03,9.640212e-01,9.741060e+00,7.666347e-01,9.058101e+00,8.845291e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.331837e-01,4.732546e-01,7.012994e-01,6.330776e+01
3.800000e+01,2.604045e+03,9.620556e-01,1.045907e+01,7.114710e-01,9.117567e+00,8.881835e-01,1.000000e+00,5.437939e-01,5.908864e-01,5.494260e-01,4.542362e-01,7.604610e-01,6.241243e+01
3.900000e+01,2.604453e+03,9.602611e-01,9.720958e+00,7.873043e-01,9.067132e+00,8.730125e-01,7.729945e-01,2.451902e-01,2.450781e-01,7.429980e-01,4.407467e-01,5.762027e-01,6.373128e+01
4.000000e+01,2.602332e+03,9.709229e-01,1.088938e+01,6.340518e-01,9.161601e+00,8.859041e-01,1.000000e+00,3.661312e-01,3.649964e-01,3.941221e-01,1.814271e-01,1.871692e-01,4.219010e+01
4.100000e+01,2.599979e+03,9.971585e-01,1.060197e+01,7.032727e-01,9.120342e+00,8.951171e-01,1.000000e+00,2.472168e-01,2.520718e-01,6.554958e-01,3.400449e-01,3.064344e-01,5.685028e+01
4.200000e+01,2.599421e+03,9.852915e-01,9.663054e+00,7.441649e-01,9.062646e+00,8.942608e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.155026e-01,3.933266e-01,8.116883e-01,6.048605e+01
