# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.605773e+03,9.549977e-01,1.096005e+01,6.330127e-01,9.177809e+00,8.841165e-01,1.000000e+00,2.454008e-01,2.479738e-01,8.405670e-01,4.819141e-01,6.994664e-01,6.961168e+01
2.000000e+00,2.602408e+03,9.704647e-01,9.866245e+00,7.619859e-01,9.087797e+00,8.913160e-01,1.000000e+00,9.098109e-01,1.000000e+00,4.969304e-01,5.202814e-01,6.607607e-01,6.657410e+01
3.000000e+00,2.603739e+03,9.634620e-01,1.205891e+01,5.547428e-01,9.237035e+00,8.514519e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.429581e-01,3.931633e-01,6.662033e-01,5.944355e+01
4.000000e+00,2.596503e+03,9.646215e-01,1.076321e+01,6.411126e-01,9.162570e+00,8.894529e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.968539e-01,5.387263e-01,7.134224e-01,7.078835e+01
5.000000e+00,2.601267e+03,9.784031e-01,1.051929e+01,6.529286e-01,9.144823e+00,8.821585e-01,1.000000e+00,7.912294e-01,7.546221e-01,8.219115e-01,4.790288e-01,6.087793e-01,7.387351e+01
6.000000e+00,2.604612e+03,9.595862e-01,1.073373e+01,6.251148e-01,9.162972e+00,8.813657e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.523965e-01,6.915267e-01,9.004494e-01,7.536989e+01
7.000000e+00,2.607468e+03,9.491332e-01,1.050352e+01,6.974785e-01,9.131857e+00,8.918604e-01,5.215488e-01,5.408767e-01,5.259337e-01,5.403342e-01,5.891958e-01,7.400089e-01,6.386775e+01
8.000000e+00,2.606932e+03,9.508988e-01,1.079332e+01,6.325253e-01,9.159448e+00,8.912672e-01,7.871777e-01,4.311692e-01,4.695063e-01,4.767990e-01,6.001036e-01,6.433307e-01,6.172097e+01
9.000000e+00,2.609876e+03,9.419467e-01,9.247910e+00,7.518168e-01,9.004695e+00,8.813250e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.451284e-01,5.394585e-01,4.455264e-01,6.806362e+01
1.000000e+01,2.604096e+03,9.618243e-01,1.036372e+01,6.979989e-01,9.124059e+00,8.905860e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.011866e-01,3.060282e-01,3.229426e-01,5.411927e+01
