# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,3.013244e+03,7.149635e-01,5.271927e-01,1.633537e+01,5.338679e-01,9.399635e+00,8.286080e-01,1.038720e+01
2.000000e+00,2.552039e+03,8.804232e-01,5.272207e-01,1.532342e+01,5.462808e-01,9.365790e+00,8.382854e-01,1.132495e+01
3.000000e+00,3.087954e+03,6.977325e-01,5.272243e-01,1.550427e+01,5.400886e-01,9.381981e+00,8.342271e-01,1.036024e+01
4.000000e+00,3.094579e+03,6.963084e-01,5.271583e-01,1.984772e+01,4.815314e-01,9.484603e+00,8.093848e-01,9.936123e+00
5.000000e+00,3.186646e+03,6.779622e-01,5.271470e-01,1.392943e+01,5.819012e-01,9.308366e+00,8.567135e-01,1.058288e+01
6.000000e+00,2.745621e+03,8.086296e-01,5.272467e-01,2.288276e+01,4.535665e-01,9.543404e+00,7.984001e-01,1.030298e+01
7.000000e+00,2.839213e+03,7.672693e-01,5.271270e-01,2.178601e+01,4.621889e-01,9.535810e+00,7.989310e-01,1.014195e+01
8.000000e+00,2.792642e+03,7.860397e-01,5.271333e-01,2.211192e+01,4.632687e-01,9.536455e+00,7.993646e-01,1.024337e+01
9.000000e+00,3.054811e+03,7.050977e-01,5.271527e-01,2.319191e+01,4.505733e-01,9.544732e+00,7.977900e-01,9.767305e+00
1.000000e+01,2.475929e+03,8.207160e-01,5.272330e-01,2.274430e+01,4.543938e-01,9.539629e+00,7.985425e-01,1.036826e+01
1.100000e+01,2.854617e+03,7.616511e-01,5.271410e-01,2.078235e+01,4.739952e-01,9.509490e+00,8.043477e-01,1.019997e+01
1.200000e+01,2.582613e+03,9.244061e-01,5.271440e-01,1.391345e+01,5.881139e-01,9.313372e+00,8.517884e-01,1.182154e+01
1.300000e+01,2.935205e+03,7.358020e-01,5.271660e-01,2.029651e+01,4.775977e-01,9.501095e+00,8.062016e-01,1.009801e+01
1.400000e+01,2.725252e+03,8.200182e-01,5.271517e-01,1.094899e+01,6.679874e-01,9.142571e+00,9.282739e-01,1.208140e+01
1.500000e+01,2.848554e+03,7.638319e-01,5.272347e-01,2.242293e+01,4.535638e-01,9.552745e+00,7.960505e-01,1.006723e+01
1.600000e+01,2.914244e+03,7.420305e-01,5.271263e-01,1.760217e+01,5.124602e-01,9.439578e+00,8.190081e-01,1.036749e+01
1.700000e+01,2.624602e+03,9.113493e-01,5.271940e-01,2.156995e+01,4.611203e-01,9.527817e+00,8.013188e-01,1.086894e+01
1.800000e+01,2.511991e+03,8.446066e-01,5.272020e-01,1.750113e+01,5.037695e-01,9.440221e+00,8.199319e-01,1.084154e+01
1.900000e+01,2.680518e+03,8.503553e-01,5.271333e-01,2.264554e+01,4.484129e-01,9.546718e+00,7.974562e-01,1.048112e+01
2.000000e+01,2.510446e+03,8.434618e-01,5.271770e-01,2.421291e+01,4.427899e-01,9.568205e+00,7.931250e-01,1.039688e+01
2.100000e+01,2.845698e+03,7.648725e-01,5.271777e-01,1.834270e+01,4.979053e-01,9.458443e+00,8.157076e-01,1.039243e+01
2.200000e+01,2.449952e+03,8.063015e-01,5.271537e-01,1.724491e+01,5.170709e-01,9.436829e+00,8.190167e-01,1.071195e+01
2.300000e+01,0.000000e+00,-1.000000e+00,0.000000e+00,0.000000e+00,-1.000000e+00,0.000000e+00,-1.000000e+00,-1.500000e+01
2.400000e+01,2.995078e+03,7.195219e-01,5.271400e-01,1.183544e+01,6.362277e-01,9.198948e+00,9.010375e-01,1.128394e+01
2.500000e+01,2.538685e+03,8.668767e-01,5.272220e-01,2.435236e+01,4.418010e-01,9.566255e+00,7.940002e-01,1.051339e+01
2.600000e+01,2.921563e+03,7.398206e-01,5.271820e-01,1.772551e+01,5.105853e-01,9.444995e+00,8.179386e-01,1.034172e+01
2.700000e+01,2.979692e+03,7.235127e-01,5.272113e-01,2.142397e+01,4.636881e-01,9.524839e+00,8.013745e-01,9.942876e+00
2.800000e+01,3.046905e+03,7.069176e-01,5.271540e-01,9.830828e+00,7.539729e-01,9.062400e+00,8.973534e-01,1.179122e+01
2.900000e+01,2.626026e+03,9.090500e-01,5.271240e-01,1.848028e+01,4.946068e-01,9.460702e+00,8.152713e-01,1.109464e+01
3.000000e+01,2.751153e+03,8.057279e-01,5.271720e-01,9.784649e+00,7.630703e-01,9.048365e+00,8.962725e-01,1.232535e+01
3.100000e+01,2.743642e+03,8.096862e-01,5.272513e-01,2.165772e+01,4.633877e-01,9.528503e+00,8.005524e-01,1.036813e+01
3.200000e+01,2.917200e+03,7.411333e-01,5.272157e-01,2.175329e+01,4.625109e-01,9.530283e+00,7.997313e-01,1.001688e+01
3.300000e+01,2.796193e+03,7.844995e-01,5.271133e-01,2.266512e+01,4.530217e-01,9.546574e+00,7.966875e-01,1.017104e+01
3.400000e+01,3.094450e+03,6.963360e-01,5.271753e-01,1.245142e+01,6.032259e-01,9.230775e+00,8.869740e-01,1.093268e+01
