# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3
1.000000e+00,7.074000e+01,9.101000e+01,1.240000e+02,2.598000e+01,3.254000e+01,2.560000e+01,2.289000e+01,2.179000e+01,1.881000e+01,2.132000e-01,1.948000e-01,2.128000e-01
2.000000e+00,6.758000e+01,8.695000e+01,1.185000e+02,2.948000e+01,3.692000e+01,2.905000e+01,2.597000e+01,2.472000e+01,2.134000e+01,5.998000e-01,5.482000e-01,5.985000e-01
3.000000e+00,6.236000e+01,8.023000e+01,1.093000e+02,2.645000e+01,3.313000e+01,2.606000e+01,2.330000e+01,2.218000e+01,1.915000e+01,3.523000e-01,3.220000e-01,3.516000e-01
4.000000e+00,7.887000e+01,1.015000e+02,1.383000e+02,2.590000e+01,3.244000e+01,2.552000e+01,2.282000e+01,2.172000e+01,1.875000e+01,3.075000e-01,2.810000e-01,3.069000e-01
5.000000e+00,6.953000e+01,8.946000e+01,1.219000e+02,3.318000e+01,4.155000e+01,3.270000e+01,2.923000e+01,2.782000e+01,2.402000e+01,3.820000e-01,3.491000e-01,3.812000e-01
6.000000e+00,6.946000e+01,8.937000e+01,1.218000e+02,3.251000e+01,4.072000e+01,3.204000e+01,2.864000e+01,2.726000e+01,2.354000e+01,3.743000e-01,3.421000e-01,3.735000e-01
7.000000e+00,7.584000e+01,9.758000e+01,1.330000e+02,2.610000e+01,3.269000e+01,2.572000e+01,2.299000e+01,2.189000e+01,1.890000e+01,3.770000e-01,3.445000e-01,3.762000e-01
8.000000e+00,7.053000e+01,9.074000e+01,1.236000e+02,3.284000e+01,4.113000e+01,3.236000e+01,2.893000e+01,2.754000e+01,2.378000e+01,3.872000e-01,3.539000e-01,3.864000e-01
9.000000e+00,6.060000e+01,7.797000e+01,1.062000e+02,3.456000e+01,4.328000e+01,3.406000e+01,3.044000e+01,2.898000e+01,2.502000e+01,6.987000e-01,6.385000e-01,6.972000e-01
1.000000e+01,7.990000e+01,1.028000e+02,1.401000e+02,3.169000e+01,3.969000e+01,3.123000e+01,2.792000e+01,2.658000e+01,2.294000e+01,4.313000e-01,3.942000e-01,4.304000e-01
1.100000e+01,7.921000e+01,1.019000e+02,1.389000e+02,3.049000e+01,3.819000e+01,3.004000e+01,2.686000e+01,2.557000e+01,2.207000e+01,4.644000e-01,4.244000e-01,4.634000e-01
1.200000e+01,6.960000e+01,8.955000e+01,1.220000e+02,3.168000e+01,3.968000e+01,3.122000e+01,2.791000e+01,2.657000e+01,2.294000e+01,2.264000e-01,2.069000e-01,2.259000e-01
1.300000e+01,6.799000e+01,8.748000e+01,1.192000e+02,3.104000e+01,3.887000e+01,3.059000e+01,2.734000e+01,2.603000e+01,2.247000e+01,1.648000e-01,1.506000e-01,1.645000e-01
1.400000e+01,7.799000e+01,1.003000e+02,1.367000e+02,3.444000e+01,4.313000e+01,3.394000e+01,3.034000e+01,2.888000e+01,2.493000e+01,6.173000e-01,5.642000e-01,6.160000e-01
