# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.604535e+03,9.599106e-01,1.061956e+01,6.670880e-01,9.135823e+00,8.854552e-01,1.000000e+00,4.383413e-01,4.526834e-01,4.034632e-01,3.581205e-01,6.677572e-01,5.201161e+01
2.000000e+00,2.602689e+03,9.688429e-01,1.144896e+01,6.031302e-01,9.210404e+00,8.679947e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.716436e-01,3.542398e-01,4.663450e-01,6.193749e+01
3.000000e+00,2.609957e+03,9.417218e-01,1.013514e+01,6.773251e-01,9.117992e+00,8.744948e-01,1.000000e+00,5.180145e-01,5.422034e-01,3.792537e-01,4.166890e-01,6.442444e-01,5.384801e+01
4.000000e+00,2.607807e+03,9.480492e-01,1.017344e+01,7.252875e-01,9.100843e+00,8.841109e-01,1.000000e+00,5.280407e-01,5.566494e-01,4.443459e-01,4.926070e-01,7.359914e-01,5.968399e+01
5.000000e+00,2.607449e+03,9.491932e-01,1.063508e+01,6.785399e-01,9.131504e+00,8.892549e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.749889e-01,4.788857e-01,7.259702e-01,6.810040e+01
6.000000e+00,2.604948e+03,9.582007e-01,1.058517e+01,6.558755e-01,9.141267e+00,8.795126e-01,1.000000e+00,8.666878e-01,8.325033e-01,7.455476e-01,3.654943e-01,4.544539e-01,6.712264e+01
7.000000e+00,2.598892e+03,9.797774e-01,1.016405e+01,7.417761e-01,9.088407e+00,9.001399e-01,1.000000e+00,4.569579e-01,4.739728e-01,3.959402e-01,4.716740e-01,4.711348e-01,5.548529e+01
8.000000e+00,2.599708e+03,9.895163e-01,1.102288e+01,6.302364e-01,9.163202e+00,8.929562e-01,1.000000e+00,2.446331e-01,2.487671e-01,8.528141e-01,4.717020e-01,4.708976e-01,6.874310e+01
9.000000e+00,2.606657e+03,9.518362e-01,1.027971e+01,6.923914e-01,9.129885e+00,8.859927e-01,1.000000e+00,4.564337e-01,4.762592e-01,3.895672e-01,4.551244e-01,6.311515e-01,5.503453e+01
1.000000e+01,2.599095e+03,9.816811e-01,9.782860e+00,7.711945e-01,9.079674e+00,8.806657e-01,1.000000e+00,4.237992e-01,4.612805e-01,4.059468e-01,4.909124e-01,6.490289e-01,5.722832e+01
1.100000e+01,2.603181e+03,9.662024e-01,1.049228e+01,6.838295e-01,9.132763e+00,8.896792e-01,1.000000e+00,2.456695e-01,2.457315e-01,7.987610e-01,4.857628e-01,7.671841e-01,6.894981e+01
1.200000e+01,2.602440e+03,9.702788e-01,1.022912e+01,6.701475e-01,9.130508e+00,8.817866e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.886611e-01,3.784325e-01,4.687054e-01,6.730287e+01
1.300000e+01,2.602576e+03,9.694867e-01,9.983839e+00,7.245129e-01,9.108196e+00,8.794915e-01,5.261879e-01,2.494491e-01,2.495402e-01,9.282713e-01,5.584476e-01,6.454139e-01,7.325557e+01
1.400000e+01,2.601009e+03,9.806826e-01,1.080345e+01,6.613592e-01,9.160338e+00,8.956355e-01,1.000000e+00,2.448615e-01,2.480854e-01,8.314020e-01,4.607466e-01,6.582870e-01,6.866976e+01
1.500000e+01,2.604526e+03,9.599468e-01,9.573814e+00,7.873643e-01,9.034939e+00,8.901576e-01,1.000000e+00,2.449960e-01,2.449354e-01,7.755744e-01,4.583336e-01,2.720665e-01,6.518411e+01
1.600000e+01,2.607914e+03,9.477151e-01,1.056536e+01,6.606648e-01,9.145688e+00,8.828645e-01,1.000000e+00,4.276110e-01,4.646250e-01,4.412102e-01,3.171787e-01,1.526443e-01,4.922423e+01
1.700000e+01,2.605884e+03,9.545884e-01,1.019850e+01,6.778962e-01,9.065627e+00,9.025569e-01,1.000000e+00,5.736974e-01,6.222400e-01,4.966501e-01,4.521212e-01,2.997196e-01,5.836049e+01
1.800000e+01,2.602038e+03,9.727645e-01,9.755921e+00,7.117370e-01,9.070392e+00,8.633090e-01,1.000000e+00,6.458594e-01,7.216510e-01,5.300605e-01,7.622327e-01,8.170555e-01,7.389214e+01
1.900000e+01,2.600606e+03,9.849684e-01,1.038831e+01,6.951647e-01,9.128406e+00,8.910456e-01,1.000000e+00,3.422658e-01,3.424468e-01,5.767932e-01,2.102123e-01,2.931169e-01,5.029023e+01
2.000000e+01,2.610105e+03,9.413154e-01,9.871277e+00,7.287471e-01,9.095902e+00,8.844968e-01,1.000000e+00,4.540792e-01,4.736662e-01,5.336792e-01,3.644298e-01,4.439779e-01,5.606523e+01
2.100000e+01,2.599880e+03,9.932533e-01,1.009068e+01,7.301069e-01,9.116018e+00,8.928962e-01,1.000000e+00,4.380258e-01,4.078848e-01,4.755436e-01,4.728461e-01,8.473008e-01,5.974098e+01
2.200000e+01,2.596453e+03,9.643801e-01,9.748113e+00,7.924059e-01,9.050392e+00,8.922076e-01,1.000000e+00,6.011655e-01,5.184092e-01,7.171576e-01,4.285404e-01,5.071630e-01,6.647809e+01
2.300000e+01,2.599361e+03,9.845631e-01,9.924140e+00,7.577123e-01,9.083149e+00,8.803497e-01,1.000000e+00,4.485134e-01,4.656580e-01,4.118785e-01,4.934201e-01,5.692875e-01,5.721587e+01
2.400000e+01,2.604548e+03,9.598535e-01,1.057628e+01,6.937220e-01,9.124078e+00,8.915336e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.642253e-01,7.259507e-01,7.457201e-01,8.361030e+01
2.500000e+01,2.604724e+03,9.591175e-01,9.593257e+00,7.955548e-01,9.045063e+00,8.775798e-01,1.000000e+00,4.266638e-01,4.596010e-01,4.137817e-01,3.955566e-01,3.914073e-01,5.287646e+01
2.600000e+01,2.605494e+03,9.560519e-01,1.025994e+01,6.656040e-01,9.138342e+00,8.859953e-01,1.000000e+00,9.241311e-01,1.000000e+00,5.417425e-01,5.864466e-01,8.164151e-01,7.072761e+01
2.700000e+01,2.605875e+03,9.546230e-01,1.029980e+01,6.757179e-01,9.113996e+00,8.793212e-01,1.000000e+00,4.638904e-01,4.828274e-01,3.222336e-01,4.215978e-01,4.495926e-01,5.056396e+01
2.800000e+01,2.598215e+03,9.744645e-01,9.134220e+00,7.803691e-01,9.009743e+00,8.629978e-01,1.000000e+00,2.454969e-01,2.453788e-01,5.184686e-01,3.720840e-01,6.289643e-01,5.485770e+01
2.900000e+01,2.597477e+03,9.697882e-01,1.080606e+01,6.886219e-01,9.145243e+00,9.018069e-01,1.000000e+00,4.541965e-01,4.720914e-01,4.238155e-01,5.057640e-01,6.307107e-01,5.812136e+01
3.000000e+01,2.600996e+03,9.808045e-01,1.028840e+01,7.410708e-01,9.108968e+00,9.007608e-01,1.000000e+00,4.474947e-01,4.653209e-01,4.755110e-01,3.902819e-01,6.401500e-01,5.618076e+01
3.100000e+01,2.602942e+03,9.674558e-01,9.874538e+00,7.652640e-01,9.099946e+00,8.944986e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.743923e-01,4.808213e-01,7.871442e-01,6.900429e+01
3.200000e+01,2.604320e+03,9.608332e-01,1.109198e+01,6.347243e-01,9.172386e+00,8.883527e-01,1.000000e+00,1.000000e+00,1.000000e+00,3.011035e-01,3.847869e-01,5.382329e-01,5.411688e+01
3.300000e+01,2.597730e+03,9.712982e-01,9.629021e+00,7.920431e-01,9.036748e+00,8.860426e-01,1.000000e+00,2.081549e-01,2.081400e-01,3.893566e-01,1.816107e-01,2.161568e-01,4.139303e+01
3.400000e+01,2.601862e+03,9.739377e-01,1.040788e+01,6.882575e-01,9.125559e+00,9.141099e-01,1.000000e+00,1.000000e+00,6.627542e-01,5.441156e-01,3.734482e-01,5.275010e-01,6.094754e+01
3.500000e+01,2.609273e+03,9.436437e-01,9.178820e+00,7.489015e-01,9.013265e+00,8.771665e-01,1.000000e+00,4.589649e-01,4.749021e-01,3.890698e-01,3.720283e-01,2.850506e-01,5.058158e+01
3.600000e+01,2.602779e+03,9.683443e-01,1.027088e+01,6.461635e-01,9.126890e+00,8.634409e-01,1.000000e+00,5.274773e-01,5.523782e-01,3.679326e-01,4.372521e-01,5.773748e-01,5.385736e+01
3.700000e+01,2.600730e+03,9.835216e-01,1.065920e+01,6.639164e-01,9.161441e+00,8.943241e-01,1.000000e+00,7.063882e-01,5.332529e-01,6.505767e-01,4.203269e-01,5.887171e-01,6.433223e+01
3.800000e+01,2.603010e+03,9.670940e-01,1.031114e+01,6.956229e-01,9.110334e+00,9.128863e-01,1.000000e+00,6.532754e-01,1.000000e+00,5.119249e-01,5.358213e-01,6.772105e-01,6.620156e+01
3.900000e+01,2.604448e+03,9.602815e-01,9.033531e+00,6.909418e-01,8.973734e+00,8.606578e-01,1.000000e+00,5.201452e-01,5.465057e-01,5.834927e-01,5.120511e-01,7.816572e-01,6.514498e+01
4.000000e+01,2.603509e+03,9.645661e-01,1.046180e+01,7.103800e-01,9.115975e+00,9.069922e-01,1.000000e+00,7.519711e-01,1.000000e+00,5.912774e-01,3.569527e-01,4.751181e-01,6.223319e+01
4.100000e+01,2.604561e+03,9.598022e-01,9.405940e+00,7.642970e-01,9.046329e+00,8.771398e-01,1.000000e+00,2.449130e-01,2.495439e-01,6.813739e-01,3.926267e-01,4.929808e-01,6.053340e+01
4.200000e+01,2.600126e+03,9.930950e-01,1.023499e+01,6.855215e-01,9.086464e+00,9.172134e-01,1.000000e+00,2.448292e-01,2.493024e-01,8.874388e-01,5.007237e-01,4.716068e-01,7.139353e+01
4.300000e+01,2.600583e+03,9.852500e-01,9.240683e+00,7.887061e-01,8.988631e+00,8.732135e-01,1.000000e+00,3.337329e-01,3.332032e-01,5.945931e-01,2.668504e-01,2.884754e-01,5.316343e+01
4.400000e+01,2.605473e+03,9.561325e-01,1.048974e+01,6.447736e-01,9.132140e+00,8.768927e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.080256e-01,5.369802e-01,9.002646e-01,6.496552e+01
4.500000e+01,2.606462e+03,9.525127e-01,9.980288e+00,8.057772e-01,9.072809e+00,8.830547e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.384054e-01,2.076513e-01,2.983051e-01,5.231024e+01
