# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,system_stable_enough_switch,fracture_average_direction_angle_match_degree,fracture_rotation_angle_match_degree,max_stress_match_degree,max_strain_energy_match_degree,equivalent_strain_match_degree,reward_value
1.000000e+00,2.607829e+03,9.479816e-01,1.120289e+01,6.633766e-01,9.176862e+00,8.987810e-01,1.000000e+00,5.276659e-01,5.671438e-01,4.722967e-01,6.677290e-01,8.103093e-01,6.697719e+01
2.000000e+00,2.610486e+03,9.402848e-01,1.125315e+01,6.112833e-01,9.188795e+00,8.791190e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.525903e-01,2.990742e-01,2.812936e-01,6.186816e+01
3.000000e+00,2.603583e+03,9.642062e-01,9.935646e+00,7.292565e-01,9.086461e+00,9.055343e-01,1.000000e+00,2.427442e-01,2.466851e-01,7.885886e-01,4.326273e-01,4.273629e-01,6.532150e+01
4.000000e+00,2.601738e+03,9.748005e-01,9.865516e+00,7.350577e-01,9.094293e+00,8.789648e-01,1.000000e+00,2.474759e-01,2.499906e-01,7.793002e-01,3.877480e-01,6.045198e-01,6.430073e+01
5.000000e+00,2.605333e+03,9.566712e-01,1.035002e+01,7.017356e-01,9.125458e+00,8.892932e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.484490e-01,8.099567e-01,9.708276e-01,8.363684e+01
6.000000e+00,2.604785e+03,9.588654e-01,1.134460e+01,6.115354e-01,9.163491e+00,8.928381e-01,1.000000e+00,9.377055e-01,1.000000e+00,7.041013e-01,7.174814e-01,9.072200e-01,8.129622e+01
7.000000e+00,2.605201e+03,9.571886e-01,1.098813e+01,5.978817e-01,9.179677e+00,8.706340e-01,1.000000e+00,2.485555e-01,2.502586e-01,7.676059e-01,4.441338e-01,5.786366e-01,6.492666e+01
8.000000e+00,2.601524e+03,9.763612e-01,1.010729e+01,7.332544e-01,9.107216e+00,9.015117e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.376459e-01,5.223635e-01,7.278125e-01,7.229503e+01
9.000000e+00,2.601780e+03,9.745029e-01,1.028798e+01,6.691820e-01,9.071615e+00,9.071968e-01,1.000000e+00,3.068104e-01,3.159988e-01,7.238090e-01,3.150610e-01,3.863776e-01,5.916079e+01
1.000000e+01,2.607385e+03,9.494020e-01,1.043796e+01,7.058689e-01,9.114963e+00,9.093201e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.690509e-01,5.097265e-01,4.089902e-01,7.462512e+01
1.100000e+01,2.605109e+03,9.575537e-01,1.022176e+01,7.454815e-01,9.110095e+00,8.859820e-01,1.000000e+00,2.451425e-01,2.496981e-01,8.715155e-01,6.507309e-01,8.870356e-01,7.813309e+01
1.200000e+01,2.600762e+03,9.831639e-01,1.155368e+01,5.770958e-01,9.220897e+00,8.620675e-01,8.196918e-01,2.468104e-01,2.465284e-01,9.073051e-01,6.125856e-01,6.730221e-01,7.523808e+01
1.300000e+01,2.601346e+03,9.777512e-01,1.107661e+01,6.562837e-01,9.163035e+00,9.040249e-01,1.000000e+00,8.240556e-01,1.000000e+00,5.581507e-01,5.681779e-01,7.730122e-01,7.009714e+01
1.400000e+01,2.600910e+03,9.816389e-01,1.148102e+01,6.004464e-01,9.212019e+00,8.697968e-01,1.000000e+00,7.081123e-01,1.000000e+00,5.108297e-01,2.480508e-01,2.685048e-01,5.370331e+01
1.500000e+01,2.603973e+03,9.623802e-01,1.026311e+01,6.729614e-01,9.112156e+00,9.240343e-01,7.422706e-01,2.435461e-01,2.475543e-01,5.459249e-01,3.792690e-01,4.395859e-01,5.354345e+01
1.600000e+01,2.601737e+03,9.748049e-01,9.408912e+00,7.309093e-01,9.052542e+00,8.707030e-01,1.000000e+00,4.318816e-01,4.698854e-01,3.381489e-01,3.845827e-01,6.430448e-01,5.090175e+01
1.700000e+01,2.601759e+03,9.746513e-01,9.935306e+00,7.741856e-01,9.094107e+00,8.895428e-01,1.000000e+00,5.428282e-01,5.754257e-01,5.422749e-01,4.730764e-01,7.959703e-01,6.330031e+01
1.800000e+01,2.606140e+03,9.536576e-01,9.804224e+00,7.624065e-01,9.093424e+00,8.934738e-01,1.000000e+00,7.784636e-01,1.000000e+00,4.673183e-01,4.763516e-01,8.141749e-01,6.403933e+01
1.900000e+01,2.603336e+03,9.654186e-01,1.027728e+01,7.523231e-01,9.093666e+00,9.033486e-01,1.000000e+00,5.008865e-01,5.280958e-01,3.516698e-01,4.108621e-01,4.974223e-01,5.242609e+01
2.000000e+01,2.604892e+03,9.584264e-01,1.082709e+01,5.947566e-01,9.169566e+00,8.707308e-01,1.000000e+00,2.485897e-01,2.487596e-01,5.951892e-01,3.906455e-01,3.673865e-01,5.594746e+01
2.100000e+01,2.600909e+03,9.816406e-01,1.015884e+01,6.977899e-01,9.118938e+00,8.758585e-01,9.495655e-01,2.445748e-01,2.465641e-01,7.354649e-01,4.449962e-01,4.788678e-01,6.369044e+01
2.200000e+01,2.604875e+03,9.584973e-01,1.015610e+01,7.293263e-01,9.113540e+00,8.888642e-01,1.000000e+00,4.423619e-01,4.570851e-01,3.502866e-01,4.729245e-01,6.712915e-01,5.454952e+01
2.300000e+01,2.603840e+03,9.629892e-01,1.079025e+01,6.374272e-01,9.155669e+00,8.892610e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.340051e-01,4.718376e-01,5.552373e-01,6.892907e+01
2.400000e+01,2.598610e+03,9.773968e-01,1.095627e+01,6.534958e-01,9.156148e+00,9.079161e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.950124e-01,4.664053e-01,5.622222e-01,7.465478e+01
2.500000e+01,2.599093e+03,9.816681e-01,1.114841e+01,6.113324e-01,9.189708e+00,8.750461e-01,8.779769e-01,5.776143e-01,5.869726e-01,4.549511e-01,6.194891e-01,8.570359e-01,6.444364e+01
2.600000e+01,2.604973e+03,9.580995e-01,9.891788e+00,7.430717e-01,9.067910e+00,8.951175e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.671054e-01,5.303299e-01,6.858378e-01,7.682087e+01
2.700000e+01,2.608483e+03,9.459665e-01,1.101004e+01,6.294068e-01,9.175179e+00,8.832001e-01,1.000000e+00,7.178854e-01,1.000000e+00,4.744880e-01,6.019510e-01,8.530620e-01,6.782297e+01
2.800000e+01,2.602451e+03,9.702115e-01,1.025120e+01,7.563664e-01,9.092463e+00,8.903538e-01,1.000000e+00,4.501725e-01,4.664188e-01,5.569123e-01,2.943649e-01,5.396087e-01,5.516036e+01
2.900000e+01,2.606490e+03,9.524170e-01,1.135750e+01,6.389159e-01,9.188859e+00,8.859809e-01,6.660901e-01,2.405898e-01,2.452077e-01,5.662349e-01,3.862699e-01,5.512284e-01,5.423982e+01
3.000000e+01,2.607421e+03,9.492855e-01,9.492862e+00,7.173723e-01,9.014204e+00,8.772587e-01,1.000000e+00,4.413157e-01,4.542136e-01,3.707569e-01,4.465674e-01,6.319718e-01,5.396344e+01
3.100000e+01,2.601286e+03,9.782478e-01,1.082317e+01,6.858784e-01,9.153093e+00,9.128180e-01,1.000000e+00,6.476334e-01,6.972134e-01,4.682572e-01,2.238329e-01,2.279252e-01,4.997174e+01
3.200000e+01,2.604686e+03,9.592761e-01,1.016406e+01,7.432020e-01,9.100287e+00,8.855268e-01,7.567685e-01,1.000000e+00,1.000000e+00,8.249901e-01,6.399331e-01,6.186805e-01,8.108958e+01
3.300000e+01,2.599255e+03,9.833558e-01,9.235300e+00,7.001480e-01,9.047893e+00,8.464201e-01,1.000000e+00,8.126352e-01,7.763529e-01,3.570892e-01,4.251803e-01,5.068773e-01,5.550838e+01
3.400000e+01,2.598109e+03,9.737388e-01,1.040839e+01,6.425380e-01,9.147350e+00,8.775554e-01,1.000000e+00,7.896348e-01,7.958602e-01,4.356047e-01,3.620928e-01,6.942196e-01,5.678715e+01
3.500000e+01,2.604553e+03,9.598332e-01,1.013090e+01,7.089011e-01,9.109519e+00,8.753871e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.290720e-01,4.388403e-01,4.376563e-01,6.728582e+01
3.600000e+01,2.601872e+03,9.738684e-01,9.944897e+00,7.656857e-01,9.093261e+00,8.811864e-01,1.000000e+00,2.437624e-01,2.483873e-01,6.268367e-01,3.700780e-01,4.222364e-01,5.756765e+01
3.700000e+01,2.605103e+03,9.575790e-01,9.975799e+00,7.240767e-01,9.099684e+00,8.735377e-01,1.000000e+00,5.471503e-01,5.812186e-01,4.504310e-01,3.561674e-01,3.150795e-01,5.322415e+01
3.800000e+01,2.599611e+03,9.879226e-01,1.001366e+01,6.746356e-01,9.107119e+00,8.646516e-01,6.563722e-01,6.175505e-01,7.933443e-01,8.435969e-01,4.556723e-01,6.631413e-01,7.176251e+01
3.900000e+01,2.600612e+03,9.848901e-01,1.073908e+01,6.723672e-01,9.158661e+00,9.016544e-01,1.000000e+00,6.280710e-01,5.620381e-01,5.985923e-01,4.677341e-01,4.232435e-01,6.318275e+01
4.000000e+01,2.609488e+03,9.430312e-01,1.032204e+01,6.739462e-01,9.120425e+00,8.812224e-01,1.000000e+00,5.533609e-01,5.963333e-01,4.226686e-01,4.223409e-01,2.077445e-01,5.385353e+01
4.100000e+01,2.601348e+03,9.777339e-01,9.780034e+00,8.269894e-01,9.036258e+00,8.859240e-01,1.000000e+00,7.205753e-01,1.000000e+00,4.402569e-01,5.227681e-01,8.283451e-01,6.490371e+01
4.200000e+01,2.603487e+03,9.646702e-01,1.008632e+01,6.675084e-01,9.078637e+00,9.121140e-01,1.000000e+00,2.451315e-01,2.494706e-01,8.191455e-01,4.784037e-01,7.735713e-01,6.947655e+01
4.300000e+01,2.604837e+03,9.586532e-01,9.849681e+00,7.779107e-01,9.072885e+00,8.940878e-01,1.000000e+00,6.612521e-01,5.109583e-01,6.534262e-01,4.276412e-01,5.105850e-01,6.440459e+01
4.400000e+01,2.607941e+03,9.476297e-01,1.075061e+01,6.800753e-01,9.127654e+00,9.167423e-01,1.000000e+00,2.498721e-01,2.548445e-01,7.151624e-01,3.863235e-01,5.748522e-01,6.167209e+01
4.500000e+01,2.606114e+03,9.537493e-01,1.033834e+01,6.702714e-01,9.105112e+00,8.754409e-01,1.000000e+00,5.384785e-01,5.794088e-01,5.339003e-01,4.755652e-01,4.007130e-01,6.042160e+01
4.600000e+01,2.605748e+03,9.550935e-01,9.930716e+00,7.361526e-01,9.086984e+00,8.933179e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.955459e-01,5.110948e-01,5.232164e-01,6.577133e+01
4.700000e+01,2.598616e+03,9.774468e-01,9.452363e+00,7.757195e-01,9.024457e+00,8.842289e-01,4.599746e-01,1.000000e+00,7.161485e-01,8.783419e-01,5.307667e-01,5.657689e-01,7.621524e+01
4.800000e+01,2.605842e+03,9.547441e-01,1.019601e+01,7.590965e-01,9.092208e+00,8.926752e-01,4.447517e-01,1.000000e+00,8.325837e-01,6.147047e-01,7.144908e-01,8.210216e-01,7.504621e+01
4.900000e+01,2.609719e+03,9.423822e-01,9.585401e+00,8.114213e-01,9.051651e+00,8.735358e-01,1.000000e+00,2.450904e-01,2.506930e-01,7.902769e-01,4.446614e-01,5.594969e-01,6.663594e+01
5.000000e+01,2.598257e+03,9.747587e-01,9.521066e+00,7.827950e-01,9.019760e+00,8.876778e-01,7.595259e-01,2.455776e-01,2.455890e-01,7.520826e-01,3.832945e-01,3.323445e-01,6.087954e+01
