# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3,pc_1_2_1_hb,pc_1_2_2_hb,pc_1_3_1_hb,pc_1_3_2_hb,pc_1_1_1,pc_1_1_2,pc_1_2_1,pc_1_2_2,pc_1_3_1,pc_1_3_2,pc_2_2_1,pc_2_2_2,pc_2_3_1,pc_2_3_2,pc_3_3_1,pc_3_3_2
1.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.508000e+00,6.112000e+00,1.508000e+00,6.112000e+00,6.746000e-01,5.555000e+00,1.316000e+00,4.326000e+00,1.333000e+00,4.458000e+00,6.601000e-01,5.555000e+00,1.358000e+00,3.822000e+00,1.267000e+00,5.555000e+00
2.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.577000e+00,5.903000e+00,1.577000e+00,5.903000e+00,8.196000e-01,5.418000e+00,1.440000e+00,4.600000e+00,1.428000e+00,4.068000e+00,1.226000e+00,5.418000e+00,9.852000e-01,3.604000e+00,1.060000e+00,5.418000e+00
3.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.457000e+00,6.112000e+00,1.457000e+00,6.112000e+00,1.041000e+00,5.292000e+00,1.344000e+00,4.579000e+00,7.944000e-01,4.380000e+00,1.392000e+00,5.292000e+00,6.408000e-01,3.709000e+00,6.479000e-01,5.292000e+00
4.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.437000e+00,5.768000e+00,1.437000e+00,5.768000e+00,6.839000e-01,4.882000e+00,7.857000e-01,4.218000e+00,1.383000e+00,3.972000e+00,5.571000e-01,4.882000e+00,7.928000e-01,3.892000e+00,1.132000e+00,4.882000e+00
5.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.462000e+00,5.902000e+00,1.462000e+00,5.902000e+00,1.232000e+00,5.341000e+00,1.117000e+00,3.943000e+00,8.712000e-01,3.909000e+00,1.263000e+00,5.341000e+00,1.105000e+00,3.424000e+00,8.595000e-01,5.341000e+00
6.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.478000e+00,6.242000e+00,1.478000e+00,6.242000e+00,1.168000e+00,5.016000e+00,1.346000e+00,4.293000e+00,9.621000e-01,3.845000e+00,1.229000e+00,5.016000e+00,9.835000e-01,3.329000e+00,8.425000e-01,5.016000e+00
7.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.419000e+00,5.819000e+00,1.419000e+00,5.819000e+00,9.028000e-01,5.259000e+00,1.204000e+00,4.164000e+00,1.473000e+00,3.796000e+00,1.145000e+00,5.259000e+00,1.321000e+00,3.887000e+00,1.058000e+00,5.259000e+00
8.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.524000e+00,6.071000e+00,1.524000e+00,6.071000e+00,9.375000e-01,4.721000e+00,1.146000e+00,4.338000e+00,6.168000e-01,4.541000e+00,8.171000e-01,4.721000e+00,1.435000e+00,3.815000e+00,1.449000e+00,4.721000e+00
9.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.461000e+00,5.999000e+00,1.461000e+00,5.999000e+00,8.989000e-01,5.132000e+00,7.232000e-01,4.215000e+00,1.468000e+00,4.030000e+00,1.008000e+00,5.132000e+00,1.339000e+00,4.092000e+00,1.074000e+00,5.132000e+00
1.000000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.407000e+00,5.706000e+00,1.407000e+00,5.706000e+00,1.323000e+00,4.711000e+00,1.026000e+00,3.777000e+00,1.462000e+00,3.771000e+00,1.470000e+00,4.711000e+00,1.265000e+00,4.051000e+00,6.919000e-01,4.711000e+00
1.100000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.500000e+00,5.775000e+00,1.500000e+00,5.775000e+00,1.272000e+00,5.062000e+00,6.742000e-01,4.539000e+00,1.498000e+00,3.930000e+00,8.126000e-01,5.062000e+00,1.357000e+00,4.096000e+00,1.154000e+00,5.062000e+00
1.200000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.460000e+00,6.064000e+00,1.460000e+00,6.064000e+00,1.470000e+00,5.353000e+00,1.078000e+00,4.054000e+00,7.665000e-01,4.524000e+00,7.519000e-01,5.353000e+00,1.106000e+00,3.833000e+00,1.299000e+00,5.353000e+00
1.300000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.546000e+00,5.856000e+00,1.546000e+00,5.856000e+00,8.965000e-01,5.561000e+00,8.516000e-01,4.136000e+00,1.113000e+00,3.810000e+00,6.651000e-01,5.561000e+00,1.383000e+00,3.556000e+00,5.126000e-01,5.561000e+00
1.400000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.510000e+00,6.027000e+00,1.510000e+00,6.027000e+00,7.878000e-01,4.600000e+00,6.195000e-01,4.488000e+00,1.474000e+00,4.035000e+00,1.023000e+00,4.600000e+00,6.417000e-01,3.960000e+00,9.538000e-01,4.600000e+00
1.500000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.495000e+00,6.199000e+00,1.495000e+00,6.199000e+00,1.291000e+00,5.130000e+00,1.224000e+00,4.161000e+00,5.301000e-01,3.803000e+00,1.350000e+00,5.130000e+00,1.406000e+00,3.931000e+00,1.281000e+00,5.130000e+00
1.600000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.438000e+00,6.101000e+00,1.438000e+00,6.101000e+00,5.442000e-01,5.364000e+00,6.499000e-01,4.103000e+00,1.448000e+00,4.213000e+00,6.181000e-01,5.364000e+00,8.883000e-01,3.613000e+00,1.269000e+00,5.364000e+00
1.700000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.509000e+00,5.847000e+00,1.509000e+00,5.847000e+00,7.339000e-01,5.529000e+00,6.066000e-01,4.296000e+00,5.940000e-01,4.506000e+00,1.213000e+00,5.529000e+00,1.457000e+00,4.053000e+00,7.222000e-01,5.529000e+00
1.800000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.503000e+00,5.850000e+00,1.503000e+00,5.850000e+00,1.277000e+00,5.230000e+00,6.812000e-01,4.452000e+00,8.737000e-01,3.958000e+00,1.494000e+00,5.230000e+00,9.188000e-01,3.744000e+00,1.111000e+00,5.230000e+00
1.900000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.583000e+00,6.227000e+00,1.583000e+00,6.227000e+00,1.028000e+00,4.962000e+00,9.078000e-01,3.785000e+00,7.213000e-01,4.332000e+00,7.464000e-01,4.962000e+00,9.117000e-01,3.867000e+00,1.360000e+00,4.962000e+00
