# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3,pc_1_2_1_hb,pc_1_2_2_hb,pc_1_3_1_hb,pc_1_3_2_hb,pc_1_1_1,pc_1_1_2,pc_1_2_1,pc_1_2_2,pc_1_3_1,pc_1_3_2,pc_2_2_1,pc_2_2_2,pc_2_3_1,pc_2_3_2,pc_3_3_1,pc_3_3_2
1.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.562000e+00,6.208000e+00,1.562000e+00,6.208000e+00,8.752000e-01,5.438000e+00,1.475000e+00,3.862000e+00,7.222000e-01,3.774000e+00,6.718000e-01,5.438000e+00,8.826000e-01,4.025000e+00,1.341000e+00,5.438000e+00
2.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.530000e+00,5.883000e+00,1.530000e+00,5.883000e+00,1.035000e+00,5.058000e+00,9.073000e-01,4.131000e+00,9.007000e-01,3.671000e+00,8.167000e-01,5.058000e+00,1.211000e+00,3.914000e+00,1.220000e+00,5.058000e+00
3.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.482000e+00,5.782000e+00,1.482000e+00,5.782000e+00,1.232000e+00,4.864000e+00,6.390000e-01,4.455000e+00,5.164000e-01,4.051000e+00,1.136000e+00,4.864000e+00,7.800000e-01,3.805000e+00,7.531000e-01,4.864000e+00
4.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.406000e+00,6.006000e+00,1.406000e+00,6.006000e+00,1.480000e+00,4.732000e+00,1.357000e+00,4.144000e+00,1.254000e+00,4.165000e+00,5.689000e-01,4.732000e+00,6.175000e-01,3.997000e+00,1.421000e+00,4.732000e+00
5.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.546000e+00,6.039000e+00,1.546000e+00,6.039000e+00,6.154000e-01,5.214000e+00,5.754000e-01,4.524000e+00,1.036000e+00,3.956000e+00,6.259000e-01,5.214000e+00,9.747000e-01,3.450000e+00,5.467000e-01,5.214000e+00
6.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.514000e+00,5.846000e+00,1.514000e+00,5.846000e+00,1.091000e+00,5.601000e+00,8.980000e-01,4.525000e+00,6.021000e-01,4.019000e+00,5.035000e-01,5.601000e+00,1.239000e+00,3.308000e+00,5.171000e-01,5.601000e+00
7.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.424000e+00,6.121000e+00,1.424000e+00,6.121000e+00,9.208000e-01,4.722000e+00,7.497000e-01,4.426000e+00,1.286000e+00,4.542000e+00,7.557000e-01,4.722000e+00,8.660000e-01,3.957000e+00,1.187000e+00,4.722000e+00
8.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.590000e+00,5.738000e+00,1.590000e+00,5.738000e+00,6.389000e-01,5.280000e+00,7.816000e-01,4.596000e+00,1.181000e+00,3.865000e+00,5.764000e-01,5.280000e+00,1.249000e+00,3.594000e+00,7.636000e-01,5.280000e+00
9.000000e+00,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.490000e+00,5.828000e+00,1.490000e+00,5.828000e+00,9.284000e-01,4.961000e+00,1.372000e+00,4.424000e+00,1.123000e+00,4.142000e+00,1.495000e+00,4.961000e+00,6.341000e-01,4.006000e+00,6.229000e-01,4.961000e+00
1.000000e+01,6.406000e+01,8.242000e+01,1.123000e+02,3.097000e+01,3.879000e+01,3.052000e+01,2.728000e+01,2.597000e+01,2.242000e+01,1.702000e-01,1.555000e-01,1.698000e-01,1.430000e+00,6.127000e+00,1.430000e+00,6.127000e+00,1.463000e+00,4.914000e+00,1.092000e+00,3.742000e+00,1.004000e+00,4.205000e+00,7.125000e-01,4.914000e+00,6.402000e-01,4.026000e+00,8.415000e-01,4.914000e+00
