#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
0,7.859687e-02,-4.900703e-02,8.126839e-01,2.013568e-01,-8.852395e-01,-5.858445e-01,9.003022e-01,-5.357419e-01,8.503492e-01,9.323739e-01,-9.824141e-01,1.606124e-01,-7.863781e-01
1,2.421212e+01,-2.399461e-01,-2.348869e-01,5.838341e-01,-9.604215e-02,-3.516912e-02,4.879483e-01,-1.163940e-01,-1.446815e-01,-5.166293e-02,-1.678861e-01,1.322865e-01,-4.587364e-01
2,2.593254e+01,-2.493682e-01,-1.532245e-02,4.867610e-01,-3.642252e-01,-2.775376e-01,1.449678e-01,3.220891e-01,4.818371e-01,4.997820e-02,-2.726865e-01,1.847239e-02,-3.902874e-01
3,8.159623e+01,-3.665283e-01,4.491200e-01,-8.267138e-02,-4.026393e-02,-2.871375e-01,2.683420e-01,-2.472646e-01,-1.778384e-01,2.418923e-01,4.835351e-02,5.578491e-01,-5.164639e-03
4,3.263659e+01,4.669038e-01,-4.427356e-01,-4.374852e-01,-1.534921e-01,-5.920211e-01,-9.296281e-02,2.417331e-01,-3.255548e-01,-2.340929e-01,-2.246083e-01,-6.604794e-04,-1.571627e-01
5,2.316728e+01,3.666792e-01,-2.935987e-02,-4.467256e-01,4.691956e-01,4.267963e-01,-1.120243e-01,-1.967073e-02,3.406742e-01,-3.327860e-01,4.872723e-01,-3.464214e-01,2.730709e-02
6,2.565865e+01,3.799572e-01,1.258637e-01,-9.127617e-02,1.420637e-02,-1.610626e-01,-3.091966e-01,3.209023e-01,3.360360e-01,-6.467982e-01,-2.440166e-01,1.548000e-01,1.275349e-02
7,2.690459e+01,2.405190e-01,-2.483458e-01,-1.537933e-01,1.762812e-01,-2.100475e-01,-4.171382e-01,-8.488262e-01,-5.698236e-02,-7.626047e-02,6.370754e-03,-2.006588e-01,1.397195e-01
8,2.382791e+01,-1.999879e-01,-6.055894e-02,2.569238e-01,-1.896028e-01,-1.018135e-02,3.567758e-01,2.836938e-03,-7.304896e-01,-2.466215e-01,7.141199e-01,-2.997374e-01,9.229044e-02
9,2.399253e+01,1.057641e-01,-1.044411e-01,-1.463336e-01,1.851203e-01,4.648560e-01,2.754815e-01,-2.723821e-02,-3.958222e-01,-5.901455e-01,3.472563e-01,8.191770e-01,-2.547257e-01
10,1.734961e+01,1.204908e-02,-2.224804e-01,3.948517e-02,1.424576e-01,3.289956e-02,4.129685e-02,-4.415561e-01,5.628240e-01,-1.255412e-01,-2.614382e-01,3.597176e-01,-5.049243e-02
11,2.488417e+01,5.742094e-02,2.244954e-01,5.833708e-02,4.969787e-01,-3.514021e-01,3.921857e-01,1.762271e-01,-3.145771e-01,-1.741683e-01,-2.957969e-02,-4.197563e-01,-1.892872e-01
12,2.566044e+01,-3.102141e-01,-2.115235e-01,-2.347055e-01,-1.803711e-01,-6.226723e-01,1.474995e-01,-1.737684e-01,3.664192e-01,2.795315e-01,-9.731882e-02,9.201267e-01,-6.081915e-01
13,2.181326e+01,-1.077537e-02,-1.406925e-01,4.082471e-02,1.349931e-01,-2.127094e-01,-1.247615e-01,3.882504e-01,-5.180402e-01,2.093425e-01,4.519612e-02,4.143848e-01,9.246659e-04
14,1.883601e+01,3.088721e-01,-3.063486e-01,2.336818e-01,3.054111e-02,-3.604597e-02,2.102509e-02,9.948915e-02,2.331610e-01,4.346091e-01,4.546166e-01,2.721507e-01,-1.604951e-01
