#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
0,6.388174e+01,-5.440466e-01,-7.750968e-01,-1.114971e-01,-3.532533e-01,-1.558937e-01,2.760103e-01,1.014646e-02,-9.554046e-01,1.203798e-01,-2.334198e-01,-7.590453e-01,5.102387e-01
1,6.001209e+01,-5.804078e-03,-1.273218e-01,2.298941e-01,2.453245e-01,-5.121721e-01,2.153738e-02,4.825226e-01,4.017139e-01,-3.022604e-01,-1.166042e-01,4.507295e-01,-1.967318e-01
2,6.536476e+01,-5.409374e-02,1.466443e-01,-3.158168e-02,4.079170e-01,4.624025e-01,-5.636245e-02,1.899341e-01,-1.783163e-01,-4.763896e-01,2.789424e-01,-3.723826e-01,-5.050047e-01
3,6.036250e+01,-1.095336e-02,4.144956e-01,-1.417925e-01,-2.236364e-01,6.220615e-01,1.956844e-01,5.087017e-02,-3.069585e-01,-4.182846e-01,1.438869e-01,6.065929e-01,3.776710e-01
4,6.653910e+01,-2.896726e-02,2.409017e-01,-2.697435e-01,-1.719353e-01,1.729549e-01,7.664401e-02,-4.766614e-02,-2.787091e-01,-1.736558e-01,1.351744e-01,2.644270e-01,-3.714218e-01
5,6.660484e+01,2.453010e-01,-2.254538e-01,-3.719565e-02,3.549128e-01,4.469534e-01,-4.916070e-01,-2.455813e-01,-4.690617e-01,4.284033e-01,-5.306617e-01,4.761147e-01,-4.081421e-01
6,7.048980e+01,2.658263e-01,-2.708306e-01,-4.662012e-01,6.229572e-01,3.655924e-01,-1.561692e-01,3.269062e-01,5.865167e-01,-9.082478e-02,8.060467e-02,1.202931e-01,-5.627486e-01
7,6.202728e+01,-4.061159e-02,5.806056e-01,-2.349872e-01,-6.051045e-01,8.533452e-01,-4.145890e-01,-2.968690e-02,3.259551e-01,5.478408e-01,-2.564113e-01,3.508415e-01,-5.128037e-02
8,6.121112e+01,-3.450948e-01,-1.317629e-01,1.447101e-01,1.691710e-01,6.340866e-01,1.415542e-01,-3.892537e-01,1.529440e-03,-4.888737e-01,-1.450296e-01,-1.481503e-01,4.557234e-01
9,6.518923e+01,-1.847332e-01,-1.064689e-01,-2.581862e-01,-1.185375e-01,-2.528042e-01,2.255202e-01,3.408985e-01,9.209884e-02,3.272486e-01,-3.977452e-01,-4.101415e-01,1.919454e-01
10,6.033774e+01,4.343017e-01,2.412840e-01,4.355219e-02,2.743004e-01,-4.754886e-01,7.977625e-01,-6.260912e-01,3.131647e-01,6.557727e-01,7.026085e-01,-4.442892e-01,-5.057429e-01
11,6.881565e+01,-3.994423e-02,8.946017e-01,4.909182e-01,-5.898359e-01,-1.073578e-01,3.699693e-01,-5.491817e-01,2.713852e-01,7.023586e-01,1.823414e-02,-2.464863e-01,1.985805e-01
12,6.412976e+01,-5.124679e-02,-1.356377e-01,-5.277094e-01,1.084695e-01,-2.537983e-01,8.410838e-02,2.718103e-02,8.688039e-02,7.901601e-01,2.125256e-01,1.921829e-01,-2.730610e-01
13,6.461651e+01,-1.570918e-01,5.765072e-01,4.037656e-01,3.604047e-01,4.737825e-01,1.994727e-01,-1.613860e-01,5.248507e-01,5.810650e-01,-3.530545e-01,-5.346977e-02,2.614197e-02
