#number,value,params_x0,params_x1,params_x10,params_x11,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9
0,3.100665e+01,-2.945856e-01,-3.256842e-01,-5.353310e-01,-5.620523e-01,-1.184044e-01,5.533714e-01,-9.979555e-01,1.231441e-01,6.712985e-01,-1.907411e-01,-5.600845e-01,4.440019e-01
1,1.290726e+01,1.827211e-01,1.145185e-01,-3.509667e-01,2.177860e-01,-2.959610e-01,-2.441268e-01,5.572359e-01,2.480264e-01,-9.476885e-01,3.152799e-01,8.480331e-01,7.731105e-02
2,2.065701e+01,-5.017738e-02,3.378949e-01,-1.866801e-02,-3.868758e-01,-1.869873e-01,-2.343367e-01,3.761233e-01,5.011647e-01,-9.829164e-01,6.363551e-01,-1.291690e-01,3.236917e-01
3,2.525462e+01,1.196956e-01,7.309041e-01,-2.285911e-01,8.963160e-01,7.402847e-01,-3.695255e-01,-2.413785e-01,-3.289482e-01,-9.778885e-01,9.413868e-01,-9.467002e-01,3.358333e-01
4,1.241990e+01,-4.358680e-01,-8.526601e-01,-3.296088e-01,-6.513630e-01,-8.893840e-01,-7.660583e-01,7.815889e-01,-6.028619e-01,-1.724500e-01,-8.671247e-01,-6.630002e-01,7.043756e-01
5,1.001178e+01,4.971818e-01,2.738439e-01,1.489150e-01,2.649043e-01,-8.788613e-02,-9.737961e-01,3.341082e-01,-5.927428e-02,-6.769166e-01,5.811531e-01,-9.609316e-01,5.225208e-01
6,3.010792e+01,3.390143e-01,-2.424373e-02,7.297565e-01,6.040316e-01,-3.570434e-01,-1.456003e-01,-6.137218e-01,-8.215606e-01,5.725294e-01,-4.420429e-01,2.324739e-01,2.052920e-01
7,2.047201e+01,-9.321732e-01,4.910003e-01,1.254724e-01,-8.283764e-01,4.113241e-01,5.803898e-01,-1.685148e-01,-1.794074e-01,3.388676e-01,-4.892320e-02,4.992063e-01,-4.995323e-01
8,2.198777e+01,-9.008771e-01,-3.064662e-01,-3.565251e-01,-4.280408e-01,2.474706e-02,-1.314304e-01,-9.870266e-01,6.930685e-02,4.892262e-01,-8.902860e-01,4.632503e-01,4.192759e-01
9,2.109338e+01,7.671419e-01,8.316249e-01,-4.799856e-02,7.540263e-01,5.518757e-01,-7.716807e-02,-1.436559e-01,1.206790e-01,9.618389e-01,-8.546438e-01,-3.161908e-01,2.774936e-03
10,2.207626e+01,-4.040134e-01,-6.266439e-01,-9.325867e-01,-2.747683e-01,-8.299532e-01,9.422984e-01,-9.794102e-01,8.736083e-01,9.944367e-01,-1.939390e-01,-4.734592e-01,-5.045730e-01
11,1.224311e+01,-3.294102e-01,-2.112785e-01,9.547547e-01,4.835613e-01,-5.610402e-01,4.559400e-01,-6.171856e-01,-9.412706e-01,4.909980e-01,-3.833608e-01,1.868562e-01,8.512773e-01
12,2.149178e+01,4.554785e-01,-2.241906e-01,9.601521e-01,-4.660694e-02,1.841876e-01,3.181766e-01,-5.925639e-01,-9.754217e-01,9.979084e-02,-4.617653e-01,1.202491e-01,-9.558376e-01
13,1.860794e+01,9.566270e-01,-5.996711e-01,5.445612e-01,-9.750764e-01,-4.559171e-01,1.808422e-01,-6.095212e-01,-4.394793e-01,7.031971e-01,-4.368505e-01,-1.293819e-01,9.987154e-01
14,2.947465e-02,-1.624229e-01,6.652275e-02,-8.357216e-01,5.906649e-01,-6.563424e-01,8.087369e-01,-7.604883e-01,4.483252e-01,-1.258511e-01,2.311014e-01,4.587366e-01,-2.527673e-01
15,2.249944e+01,3.768347e-01,-4.273013e-01,-6.528592e-01,-2.991208e-02,1.935246e-01,-5.407732e-01,-4.289331e-01,-6.492640e-01,7.349949e-01,-5.738728e-01,-6.055924e-01,1.244816e-01
16,1.950133e+01,-6.583593e-01,-9.935882e-01,4.794453e-01,2.111888e-01,-2.514373e-01,1.252925e-01,8.577781e-02,9.930964e-01,1.669590e-01,-1.722059e-01,9.817760e-01,-2.011913e-01
17,2.165303e+01,6.815319e-01,-7.098714e-02,5.752621e-01,-6.265938e-01,-4.311669e-01,6.221479e-01,-8.315940e-01,6.125524e-01,6.942454e-01,1.479183e-01,2.459006e-01,6.272312e-01
18,1.573119e+01,2.130569e-01,-4.552305e-01,-6.130882e-01,-2.109490e-01,9.090960e-01,9.778376e-02,-4.094968e-01,3.235033e-01,-4.243400e-01,-6.875602e-01,-3.449119e-01,2.500526e-01
19,3.207675e+01,-1.685182e-01,5.730655e-01,3.257955e-01,9.675073e-01,9.677617e-02,-4.649797e-01,7.481199e-02,-6.514855e-01,3.286319e-01,-2.526440e-01,6.707129e-01,-2.019494e-01
20,2.035693e+00,-6.207520e-01,6.456454e-01,2.802484e-01,-6.632102e-01,1.822485e-01,-5.849368e-01,9.807538e-01,-1.652940e-01,2.658998e-01,3.341870e-02,7.480819e-01,-2.025441e-01
21,2.057379e+01,-1.966573e-01,9.810919e-01,7.273381e-01,9.664950e-01,1.056326e-03,-4.173830e-01,1.928950e-01,-6.927236e-01,4.604130e-01,-2.507958e-01,6.490449e-01,-4.490222e-01
22,9.465111e+00,-8.875056e-03,2.490045e-01,2.983067e-01,6.854005e-01,3.912800e-01,-7.224067e-01,4.491201e-02,-8.151447e-01,7.942221e-01,-6.435750e-01,3.021724e-01,-7.610040e-01
23,2.512579e+01,-5.944578e-01,-6.894082e-02,8.318748e-01,4.091746e-01,-7.049939e-01,-4.518285e-03,-3.964415e-01,-3.343581e-01,5.661921e-01,-2.344326e-01,-6.965896e-02,1.830944e-01
24,2.154061e+01,-2.521232e-01,4.733922e-01,4.213388e-01,8.244239e-01,-3.612079e-01,3.210055e-01,-8.135799e-01,-4.738667e-01,3.268978e-01,-1.507057e-02,6.313410e-01,-1.485680e-01
25,1.480394e+01,3.336725e-01,-9.067115e-02,6.461759e-01,9.888760e-01,-9.591641e-02,-4.090864e-01,-1.093773e-01,-8.138920e-01,-1.397938e-02,-4.027109e-01,4.959923e-02,5.627333e-01
26,2.330437e+01,5.593229e-02,1.511956e-01,-5.519804e-01,6.239416e-01,1.046327e-01,-2.623973e-01,2.423291e-01,-5.181645e-01,8.460102e-01,-7.004197e-01,-6.986544e-01,-7.080994e-02
27,1.084720e+01,-8.722582e-02,4.817374e-01,-1.384285e-01,9.229754e-02,3.234369e-01,-8.935747e-01,-7.767783e-01,-7.437080e-01,1.936358e-01,3.727521e-01,3.367172e-01,-3.900796e-01
28,1.016911e+01,-4.868874e-01,-6.642119e-01,3.159566e-01,4.277472e-01,-1.390525e-01,-5.642623e-01,5.392641e-01,-1.992836e-01,6.220104e-01,-3.191752e-01,9.509785e-01,4.371354e-01
29,2.200461e+01,1.968854e-01,1.450701e-01,7.400971e-01,8.327129e-01,-2.968296e-01,-1.965631e-01,-2.809666e-01,2.281957e-01,3.676669e-01,-5.508796e-02,-2.878417e-01,3.755259e-02
30,2.354197e+01,5.763573e-01,-3.318532e-01,1.876523e-01,2.915554e-01,-5.367013e-01,3.788957e-01,-5.021177e-01,-4.143440e-02,5.711273e-02,-5.194791e-01,7.669663e-01,-6.714941e-01
31,2.374653e+01,8.041862e-02,7.487795e-01,-2.552318e-01,9.078843e-01,9.120656e-01,-4.025214e-01,-2.639560e-01,-3.721395e-01,-7.927155e-01,9.149127e-01,-9.591977e-01,3.065568e-01
32,2.623873e+01,2.455430e-01,6.804931e-01,-4.382730e-01,7.822092e-01,6.952105e-01,-2.756816e-01,-5.314430e-02,-2.943447e-01,-4.174370e-01,5.345313e-01,-8.177092e-01,4.052795e-01
33,2.058336e+01,3.036191e-01,9.577561e-01,-4.979318e-01,7.491532e-01,6.282566e-01,-2.665667e-01,5.525662e-01,-5.784249e-01,-3.437585e-01,4.235739e-01,-7.996835e-01,7.360702e-01
34,2.445234e+01,-6.297805e-02,5.617506e-01,-4.443667e-01,5.508894e-01,7.378458e-01,-3.426851e-02,-6.420463e-02,-2.279382e-01,-2.728293e-01,7.454754e-01,-4.767676e-01,1.574604e-01
35,2.280087e+01,1.906587e-01,3.485105e-01,-6.867585e-01,6.963523e-01,-1.880204e-01,-6.891821e-01,3.788597e-01,-8.636331e-01,-7.717795e-01,1.088448e-01,-8.255406e-01,2.607279e-01
