#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
0,6.402029e+01,-6.007836e-01,2.952038e-01,5.148301e-01,-6.738239e-01,6.474571e-02,-3.101206e-02,5.651474e-01,2.648520e-01,-5.141112e-01,-6.447187e-01,-7.428082e-01,-1.365177e-01
1,6.848846e+01,-1.502497e-02,5.062817e-01,3.889867e-02,7.352038e-01,-4.982381e-02,-7.644528e-01,-4.541171e-01,7.000726e-01,1.233899e-01,4.166294e-02,6.671874e-01,-6.670693e-01
2,5.843042e+01,3.253599e-01,3.773564e-01,1.014527e-01,8.828545e-01,-2.890201e-01,5.764887e-02,9.933052e-01,3.155123e-01,-2.679583e-01,3.532342e-01,2.880288e-01,-5.944691e-01
3,7.077229e+01,-6.713776e-01,7.981729e-02,-5.339719e-03,-7.137814e-01,1.708369e-01,-5.523896e-01,1.015400e-01,-6.062337e-01,9.166166e-01,4.287362e-01,4.520462e-01,-8.735186e-01
4,5.787417e+01,-6.471788e-01,2.597902e-01,6.197469e-01,-5.252480e-01,-6.076472e-01,5.192113e-01,5.016251e-01,-8.738762e-01,5.266307e-01,-6.911287e-01,-6.793899e-02,1.014042e-01
5,5.316877e+01,5.309447e-01,-7.283725e-02,2.742422e-01,6.400960e-01,-4.018982e-01,-5.248232e-01,8.941046e-01,8.933037e-01,5.101584e-01,1.706261e-01,1.168606e-02,5.702300e-01
6,6.678229e+01,1.992361e-01,7.796216e-01,-8.937497e-01,7.805314e-02,-5.088858e-01,7.515156e-01,6.253807e-03,-2.950690e-01,-9.175241e-01,-7.970596e-01,9.044021e-01,-3.342525e-01
7,6.962297e+01,-9.381125e-01,-4.078989e-01,6.632534e-01,-6.356928e-01,3.075265e-01,2.927787e-01,7.081146e-01,-3.279146e-01,-4.052295e-01,-3.670149e-01,9.791845e-01,4.119901e-01
8,5.496832e+01,1.488276e-01,6.468899e-01,-4.246417e-01,-1.342377e-02,2.358908e-01,-5.300340e-01,7.538054e-01,-2.315483e-02,3.663949e-01,-7.352837e-01,-7.936830e-01,-1.800072e-02
9,6.536246e+01,-5.816280e-01,1.658386e-01,-1.310483e-01,9.542700e-02,-5.041548e-01,-5.375252e-01,-4.342300e-01,-1.057465e-01,-4.194143e-01,-9.797051e-01,-2.066752e-01,7.553441e-02
10,7.323317e+01,9.672857e-01,-8.035719e-01,9.722766e-01,-9.601716e-01,8.083485e-01,-9.328315e-01,-8.839276e-01,-8.777148e-01,9.444768e-01,8.778118e-01,4.641082e-01,-9.868567e-01
11,6.506363e+01,9.998405e-01,-8.575264e-01,9.736483e-01,-9.889747e-01,9.146340e-01,-9.670345e-01,-8.652690e-01,-9.295997e-01,9.734481e-01,8.794377e-01,4.830272e-01,-9.783450e-01
12,6.457886e+01,-2.506281e-01,-9.786225e-01,-3.721150e-01,-8.891971e-01,7.575405e-01,-2.400331e-01,1.471197e-01,-5.650195e-01,9.331306e-01,9.070324e-01,3.246245e-01,-9.528255e-01
13,6.668204e+01,8.463251e-01,-3.798118e-01,-7.929885e-01,-2.901068e-01,5.953780e-01,-9.513120e-01,-9.620571e-01,-6.498680e-01,7.521564e-01,5.434700e-01,6.016076e-01,9.249798e-01
14,5.909887e+01,-2.413286e-01,9.914864e-01,3.390005e-01,-3.259974e-01,-9.179386e-01,-3.023792e-01,-3.929805e-01,-6.475044e-01,6.951076e-01,6.168899e-01,-3.968581e-01,-5.925787e-01
15,6.763633e+01,5.707323e-01,-1.405276e-01,9.752356e-01,-8.055568e-01,5.068375e-01,-6.867400e-01,2.226641e-01,-9.045600e-01,3.203499e-01,6.204840e-01,1.857354e-01,-7.888822e-01
16,6.473438e+01,-9.806721e-01,-6.183615e-01,-2.332589e-01,-3.871168e-01,9.530003e-01,9.764808e-01,-1.879742e-01,-5.205574e-01,-1.381065e-02,-2.429413e-01,7.258238e-01,-3.075130e-01
17,6.975017e+01,-2.319354e-01,-2.950445e-01,-6.317995e-01,3.359923e-01,4.617567e-01,-3.119361e-01,-7.522457e-01,-3.428133e-01,7.416779e-01,3.584900e-01,3.571970e-01,-4.034684e-01
18,5.563302e+01,7.282653e-01,-6.858221e-01,2.222580e-01,-9.686381e-01,-8.347715e-02,-8.002205e-01,3.655766e-01,-9.926653e-01,9.812349e-01,9.814720e-01,9.589972e-02,-7.914901e-01
19,4.989101e+01,-7.729496e-01,9.423331e-02,7.752110e-01,-1.113046e-01,6.962642e-01,-6.412167e-02,-1.196398e-01,2.473797e-01,1.001821e-01,7.668561e-01,-2.876624e-01,-9.309953e-01
